event_id; type; stop_id; line_id; line_direction; period
1; "arrival"; 29; 79; >; 10
2; "departure"; 19; 77; <; 60
3; "arrival"; 4; 30; <; 60
4; "departure"; 8; 30; >; 60
5; "arrival"; 28; 18; <; 60
6; "arrival"; 300; 80; >; 10
7; "departure"; 8; 50; >; 60
8; "arrival"; 20; 74; <; 60
9; "departure"; 4; 50; >; 60
10; "arrival"; 8; 42; <; 60
11; "arrival"; 7; 67; >; 15
12; "arrival"; 33; 72; <; 60
13; "departure"; 5; 71; <; 60
14; "departure"; 8; 70; <; 60
15; "departure"; 23; 8; >; 30
16; "departure"; 14; 77; <; 60
17; "departure"; 28; 77; >; 60
18; "arrival"; 307; 80; >; 10
19; "departure"; 22; 29; >; 60
20; "departure"; 34; 38; <; 10
21; "arrival"; 20; 79; >; 10
22; "departure"; 375; 25; >; 30
23; "departure"; 27; 30; >; 60
24; "departure"; 32; 16; <; 60
25; "departure"; 20; 80; <; 10
26; "arrival"; 50; 74; <; 60
27; "departure"; 19; 77; >; 60
28; "departure"; 8; 50; <; 60
29; "departure"; 12; 67; <; 15
30; "departure"; 26; 8; >; 30
31; "departure"; 70; 81; <; 10
32; "arrival"; 302; 80; >; 10
33; "arrival"; 10; 77; <; 60
34; "arrival"; 8; 80; >; 10
35; "departure"; 339; 71; >; 60
36; "arrival"; 29; 79; <; 10
37; "departure"; 2; 8; <; 30
38; "arrival"; 8; 63; <; 60
39; "departure"; 50; 74; >; 60
40; "arrival"; 40; 38; >; 10
41; "arrival"; 28; 18; >; 60
42; "arrival"; 28; 52; <; 60
43; "departure"; 339; 71; <; 60
44; "departure"; 30; 77; >; 60
45; "arrival"; 25; 80; <; 10
46; "departure"; 8; 71; >; 60
47; "arrival"; 21; 81; <; 10
48; "arrival"; 20; 80; >; 10
49; "arrival"; 8; 63; >; 60
50; "arrival"; 23; 77; >; 60
51; "arrival"; 346; 80; >; 10
52; "arrival"; 21; 81; >; 10
53; "departure"; 8; 8; <; 30
54; "departure"; 33; 72; >; 60
55; "departure"; 4; 72; >; 60
56; "arrival"; 4; 63; >; 60
57; "arrival"; 32; 30; <; 60
58; "departure"; 36; 81; >; 10
59; "arrival"; 33; 50; <; 60
60; "departure"; 53; 74; >; 60
61; "departure"; 69; 46; <; 20
62; "departure"; 40; 8; <; 30
63; "departure"; 2; 50; <; 60
64; "arrival"; 17; 70; >; 60
65; "departure"; 27; 72; <; 60
66; "departure"; 27; 16; <; 60
67; "arrival"; 15; 71; <; 60
68; "arrival"; 10; 8; <; 30
69; "departure"; 4; 63; <; 60
70; "arrival"; 4; 16; <; 60
71; "departure"; 36; 79; >; 10
72; "departure"; 4; 30; >; 60
73; "arrival"; 21; 79; >; 10
74; "arrival"; 24; 18; <; 60
75; "departure"; 33; 50; >; 60
76; "departure"; 11; 52; <; 60
77; "departure"; 40; 8; >; 30
78; "departure"; 68; 25; <; 30
79; "departure"; 21; 80; >; 10
80; "departure"; 32; 18; <; 60
81; "arrival"; 283; 70; >; 60
82; "departure"; 308; 18; >; 60
83; "departure"; 68; 38; >; 10
84; "arrival"; 26; 16; <; 60
85; "departure"; 14; 18; >; 60
86; "arrival"; 3; 70; <; 60
87; "arrival"; 40; 81; >; 10
88; "departure"; 2; 29; <; 60
89; "departure"; 9; 38; <; 10
90; "arrival"; 12; 42; >; 60
91; "departure"; 2; 42; <; 60
92; "departure"; 34; 29; >; 60
93; "departure"; 40; 25; <; 30
94; "departure"; 11; 25; <; 30
95; "departure"; 23; 8; <; 30
96; "arrival"; 10; 18; >; 60
97; "departure"; 10; 77; >; 60
