activity_index; type; from_event; to_event; lower_bound; upper_bound; weight
1; "drive"; 188; 159; 3; 4; 0.0
2; "wait"; 159; 77; 0; 3; 0.0
3; "drive"; 77; 365; 24; 30; 1059.0
4; "wait"; 365; 412; 0; 3; 165.0
5; "drive"; 412; 398; 2; 3; 175.0
6; "wait"; 398; 322; 0; 3; 175.0
7; "drive"; 322; 176; 2; 3; 175.0
8; "wait"; 176; 236; 0; 3; 175.0
9; "drive"; 236; 492; 2; 3; 175.0
10; "wait"; 492; 380; 0; 3; 10.0
11; "drive"; 380; 349; 4; 5; 23.0
12; "wait"; 349; 15; 0; 3; 23.0
13; "drive"; 15; 338; 3; 4; 23.0
14; "wait"; 338; 30; 0; 3; 23.0
15; "drive"; 30; 408; 4; 5; 23.0
16; "wait"; 408; 310; 0; 3; 23.0
17; "drive"; 310; 138; 4; 5; 23.0
18; "wait"; 138; 146; 0; 3; 23.0
19; "drive"; 146; 295; 4; 5; 23.0
20; "drive"; 37; 333; 4; 5; 0.0
21; "wait"; 333; 53; 0; 3; 0.0
22; "drive"; 53; 127; 4; 5; 5451.0
23; "wait"; 127; 143; 0; 3; 5451.0
24; "drive"; 143; 244; 4; 5; 5451.0
25; "wait"; 244; 141; 0; 3; 5451.0
26; "drive"; 141; 309; 3; 4; 5451.0
27; "wait"; 309; 95; 0; 3; 5451.0
28; "drive"; 95; 68; 4; 5; 5451.0
29; "wait"; 68; 340; 0; 3; 2721.0
30; "drive"; 340; 447; 2; 3; 2886.0
31; "wait"; 447; 476; 0; 3; 2886.0
32; "drive"; 476; 299; 2; 3; 2886.0
33; "wait"; 299; 438; 0; 3; 2886.0
34; "drive"; 438; 386; 2; 3; 2886.0
35; "wait"; 386; 410; 0; 3; 165.0
36; "drive"; 410; 266; 24; 30; 165.0
37; "wait"; 266; 62; 0; 3; 61.0
38; "drive"; 62; 261; 3; 4; 61.0
39; "drive"; 315; 192; 6; 8; 0.0
40; "wait"; 192; 225; 0; 3; 0.0
41; "drive"; 225; 105; 9; 12; 0.0
42; "wait"; 105; 256; 0; 3; 0.0
43; "drive"; 256; 108; 14; 18; 0.0
44; "wait"; 108; 250; 0; 3; 0.0
45; "drive"; 250; 462; 4; 5; 0.0
46; "wait"; 462; 382; 0; 3; 0.0
47; "drive"; 382; 445; 4; 5; 0.0
48; "wait"; 445; 465; 0; 3; 0.0
49; "drive"; 465; 396; 3; 4; 0.0
50; "wait"; 396; 331; 0; 3; 0.0
