# activity_index; type; from_event; to_event; lower_bound; upper_bound
1; "drive"; 1; 2; 3; 4
2; "wait"; 2; 3; 0; 3
3; "drive"; 3; 4; 24; 30
4; "wait"; 4; 5; 0; 3
5; "drive"; 5; 6; 2; 3
6; "wait"; 6; 7; 0; 3
7; "drive"; 7; 8; 2; 3
8; "wait"; 8; 9; 0; 3
9; "drive"; 9; 10; 2; 3
10; "wait"; 10; 11; 0; 3
11; "drive"; 11; 12; 4; 5
12; "wait"; 12; 13; 0; 3
13; "drive"; 13; 14; 3; 4
14; "wait"; 14; 15; 0; 3
15; "drive"; 15; 16; 4; 5
16; "wait"; 16; 17; 0; 3
17; "drive"; 17; 18; 4; 5
18; "wait"; 18; 19; 0; 3
19; "drive"; 19; 20; 4; 5
20; "sync"; 1; 21; 30; 30
21; "drive"; 21; 22; 3; 4
22; "sync"; 3; 23; 30; 30
23; "wait"; 22; 23; 0; 3
24; "drive"; 23; 24; 24; 30
25; "sync"; 5; 25; 30; 30
26; "wait"; 24; 25; 0; 3
27; "drive"; 25; 26; 2; 3
28; "sync"; 7; 27; 30; 30
29; "wait"; 26; 27; 0; 3
30; "drive"; 27; 28; 2; 3
31; "sync"; 9; 29; 30; 30
32; "wait"; 28; 29; 0; 3
33; "drive"; 29; 30; 2; 3
34; "sync"; 11; 31; 30; 30
35; "wait"; 30; 31; 0; 3
36; "drive"; 31; 32; 4; 5
37; "sync"; 13; 33; 30; 30
38; "wait"; 32; 33; 0; 3
39; "drive"; 33; 34; 3; 4
40; "sync"; 15; 35; 30; 30
41; "wait"; 34; 35; 0; 3
42; "drive"; 35; 36; 4; 5
43; "sync"; 17; 37; 30; 30
44; "wait"; 36; 37; 0; 3
45; "drive"; 37; 38; 4; 5
46; "sync"; 19; 39; 30; 30
47; "wait"; 38; 39; 0; 3
48; "drive"; 39; 40; 4; 5
49; "drive"; 41; 42; 4; 5
50; "wait"; 42; 43; 0; 3
51; "drive"; 43; 44; 4; 5
52; "wait"; 44; 45; 0; 3
53; "drive"; 45; 46; 4; 5
54; "wait"; 46; 47; 0; 3
55; "drive"; 47; 48; 3; 4
56; "wait"; 48; 49; 0; 3
57; "drive"; 49; 50; 4; 5
58; "wait"; 50; 51; 0; 3
59; "drive"; 51; 52; 2; 3
60; "wait"; 52; 53; 0; 3
61; "drive"; 53; 54; 2; 3
62; "wait"; 54; 55; 0; 3
63; "drive"; 55; 56; 2; 3
64; "wait"; 56; 57; 0; 3
65; "drive"; 57; 58; 24; 30
66; "wait"; 58; 59; 0; 3
67; "drive"; 59; 60; 3; 4
68; "sync"; 41; 61; 30; 30
69; "drive"; 61; 62; 4; 5
70; "sync"; 43; 63; 30; 30
71; "wait"; 62; 63; 0; 3
72; "drive"; 63; 64; 4; 5
73; "sync"; 45; 65; 30; 30
74; "wait"; 64; 65; 0; 3
75; "drive"; 65; 66; 4; 5
76; "sync"; 47; 67; 30; 30
77; "wait"; 66; 67; 0; 3
78; "drive"; 67; 68; 3; 4
79; "sync"; 49; 69; 30; 30
80; "wait"; 68; 69; 0; 3
81; "drive"; 69; 70; 4; 5
82; "sync"; 51; 71; 30; 30
83; "wait"; 70; 71; 0; 3
84; "drive"; 71; 72; 2; 3
85; "sync"; 53; 73; 30; 30
86; "wait"; 72; 73; 0; 3
87; "drive"; 73; 74; 2; 3
88; "sync"; 55; 75; 30; 30
89; "wait"; 74; 75; 0; 3
90; "drive"; 75; 76; 2; 3
91; "sync"; 57; 77; 30; 30
92; "wait"; 76; 77; 0; 3
93; "drive"; 77; 78; 24; 30
94; "sync"; 59; 79; 30; 30
95; "wait"; 78; 79; 0; 3
96; "drive"; 79; 80; 3; 4
97; "drive"; 81; 82; 6; 8
98; "wait"; 82; 83; 0; 3
99; "drive"; 83; 84; 9; 12
100; "wait"; 84; 85; 0; 3
101; "drive"; 85; 86; 14; 18
