# event_id; type; stop_id; line_id; line_direction; line_freq_repetition
1; "departure"; 11; 8; >; 1
2; "arrival"; 40; 8; >; 1
3; "departure"; 40; 8; >; 1
4; "arrival"; 28; 8; >; 1
5; "departure"; 28; 8; >; 1
6; "arrival"; 30; 8; >; 1
7; "departure"; 30; 8; >; 1
8; "arrival"; 24; 8; >; 1
9; "departure"; 24; 8; >; 1
10; "arrival"; 10; 8; >; 1
11; "departure"; 10; 8; >; 1
12; "arrival"; 23; 8; >; 1
13; "departure"; 23; 8; >; 1
14; "arrival"; 26; 8; >; 1
15; "departure"; 26; 8; >; 1
16; "arrival"; 19; 8; >; 1
17; "departure"; 19; 8; >; 1
18; "arrival"; 8; 8; >; 1
19; "departure"; 8; 8; >; 1
20; "arrival"; 2; 8; >; 1
21; "departure"; 11; 8; >; 2
22; "arrival"; 40; 8; >; 2
23; "departure"; 40; 8; >; 2
24; "arrival"; 28; 8; >; 2
25; "departure"; 28; 8; >; 2
26; "arrival"; 30; 8; >; 2
27; "departure"; 30; 8; >; 2
28; "arrival"; 24; 8; >; 2
29; "departure"; 24; 8; >; 2
30; "arrival"; 10; 8; >; 2
31; "departure"; 10; 8; >; 2
32; "arrival"; 23; 8; >; 2
33; "departure"; 23; 8; >; 2
34; "arrival"; 26; 8; >; 2
35; "departure"; 26; 8; >; 2
36; "arrival"; 19; 8; >; 2
37; "departure"; 19; 8; >; 2
38; "arrival"; 8; 8; >; 2
39; "departure"; 8; 8; >; 2
40; "arrival"; 2; 8; >; 2
41; "departure"; 2; 8; <; 1
42; "arrival"; 8; 8; <; 1
43; "departure"; 8; 8; <; 1
44; "arrival"; 19; 8; <; 1
45; "departure"; 19; 8; <; 1
46; "arrival"; 26; 8; <; 1
47; "departure"; 26; 8; <; 1
48; "arrival"; 23; 8; <; 1
49; "departure"; 23; 8; <; 1
50; "arrival"; 10; 8; <; 1
51; "departure"; 10; 8; <; 1
52; "arrival"; 24; 8; <; 1
53; "departure"; 24; 8; <; 1
54; "arrival"; 30; 8; <; 1
55; "departure"; 30; 8; <; 1
56; "arrival"; 28; 8; <; 1
57; "departure"; 28; 8; <; 1
58; "arrival"; 40; 8; <; 1
59; "departure"; 40; 8; <; 1
60; "arrival"; 11; 8; <; 1
61; "departure"; 2; 8; <; 2
62; "arrival"; 8; 8; <; 2
63; "departure"; 8; 8; <; 2
64; "arrival"; 19; 8; <; 2
65; "departure"; 19; 8; <; 2
66; "arrival"; 26; 8; <; 2
67; "departure"; 26; 8; <; 2
68; "arrival"; 23; 8; <; 2
69; "departure"; 23; 8; <; 2
70; "arrival"; 10; 8; <; 2
71; "departure"; 10; 8; <; 2
72; "arrival"; 24; 8; <; 2
73; "departure"; 24; 8; <; 2
74; "arrival"; 30; 8; <; 2
75; "departure"; 30; 8; <; 2
76; "arrival"; 28; 8; <; 2
77; "departure"; 28; 8; <; 2
78; "arrival"; 40; 8; <; 2
79; "departure"; 40; 8; <; 2
80; "arrival"; 11; 8; <; 2
81; "departure"; 33; 16; >; 1
82; "arrival"; 27; 16; >; 1
83; "departure"; 27; 16; >; 1
84; "arrival"; 4; 16; >; 1
85; "departure"; 4; 16; >; 1
86; "arrival"; 8; 16; >; 1
87; "departure"; 8; 16; >; 1
88; "arrival"; 19; 16; >; 1
89; "departure"; 19; 16; >; 1
90; "arrival"; 26; 16; >; 1
91; "departure"; 26; 16; >; 1
92; "arrival"; 23; 16; >; 1
93; "departure"; 23; 16; >; 1
94; "arrival"; 32; 16; >; 1
95; "departure"; 32; 16; <; 1
96; "arrival"; 23; 16; <; 1
97; "departure"; 23; 16; <; 1
98; "arrival"; 26; 16; <; 1
99; "departure"; 26; 16; <; 1
100; "arrival"; 19; 16; <; 1
101; "departure"; 19; 16; <; 1
102; "arrival"; 8; 16; <; 1
103; "departure"; 8; 16; <; 1
104; "arrival"; 4; 16; <; 1
105; "departure"; 4; 16; <; 1
106; "arrival"; 27; 16; <; 1
107; "departure"; 27; 16; <; 1
108; "arrival"; 33; 16; <; 1
109; "departure"; 308; 18; >; 1
110; "arrival"; 14; 18; >; 1
111; "departure"; 14; 18; >; 1
112; "arrival"; 28; 18; >; 1
113; "departure"; 28; 18; >; 1
