# origin; destination; customers
3; 6; 380
3; 8; 1024
3; 10; 13
3; 12; 8
3; 14; 2
3; 20; 34
3; 22; 8
3; 27; 22
3; 28; 10
3; 32; 11
3; 33; 2
3; 36; 221
3; 40; 72
3; 50; 8
3; 53; 6
3; 68; 34
3; 69; 32
3; 70; 2
3; 308; 3
3; 346; 9
3; 375; 22
5; 8; 142
5; 10; 3
5; 12; 509
5; 13; 1449
5; 14; 1
5; 15; 183
5; 20; 529
5; 22; 9
5; 28; 4
5; 29; 210
5; 31; 2171
5; 36; 4556
5; 40; 72
5; 50; 16
5; 53; 10
5; 68; 8
5; 69; 8
5; 70; 16
5; 308; 1
5; 346; 35
5; 375; 9
6; 3; 424
6; 8; 2632
6; 10; 30
6; 14; 13
6; 22; 19
6; 27; 2663
6; 28; 41
6; 32; 321
6; 33; 204
6; 40; 405
6; 50; 15
6; 53; 11
6; 68; 90
6; 69; 44
6; 70; 5
6; 308; 11
6; 346; 15
6; 375; 88
8; 3; 1048
8; 5; 255
8; 6; 2519
8; 10; 2299
8; 12; 2121
8; 13; 1451
8; 14; 710
8; 15; 300
8; 20; 3489
8; 22; 1046
8; 27; 2827
8; 28; 2650
8; 29; 1615
8; 31; 506
8; 32; 3181
8; 33; 583
8; 36; 17030
8; 50; 1570
8; 53; 1231
8; 69; 3654
8; 70; 2
8; 308; 899
8; 346; 1046
10; 3; 13
10; 5; 6
10; 6; 27
10; 8; 2299
10; 12; 26
10; 13; 15
10; 14; 210
10; 15; 3
10; 20; 48
10; 22; 13
10; 27; 32
10; 28; 756
10; 29; 18
10; 31; 4
10; 32; 56
10; 33; 8
10; 36; 308
10; 40; 104
10; 50; 13
10; 53; 11
10; 68; 145
10; 69; 48
10; 70; 4
10; 308; 256
10; 346; 13
10; 375; 57
12; 3; 4
12; 5; 509
12; 8; 2121
12; 10; 26
12; 13; 195
12; 14; 5
12; 15; 57
12; 20; 600
12; 22; 59
12; 27; 79
12; 28; 21
12; 29; 320
12; 31; 84
12; 32; 38
12; 33; 10
12; 36; 2816
12; 40; 116
12; 50; 92
12; 53; 66
12; 68; 77
12; 69; 120
12; 70; 31
12; 308; 4
12; 346; 60
12; 375; 27
13; 5; 1449
13; 8; 1451
13; 10; 15
13; 12; 195
13; 14; 3
13; 15; 529
13; 20; 132
13; 22; 18
13; 27; 113
13; 28; 12
13; 29; 167
13; 31; 995
13; 32; 56
13; 33; 12
13; 36; 635
13; 40; 170
13; 50; 18
13; 53; 11
13; 68; 57
13; 69; 42
13; 70; 4
13; 308; 3
13; 346; 21
13; 375; 30
14; 3; 2
14; 5; 3
14; 6; 11
14; 8; 710
14; 10; 210
14; 12; 5
14; 13; 3
14; 15; 1
14; 20; 17
14; 22; 3
14; 27; 15
14; 28; 655
14; 29; 3
14; 31; 1
14; 32; 6
14; 33; 1
14; 36; 232
14; 40; 56
14; 50; 2
14; 53; 2
14; 68; 33
14; 69; 11
14; 70; 2
14; 308; 442
14; 346; 5
14; 375; 44
15; 5; 227
15; 8; 324
15; 10; 3
15; 12; 52
15; 13; 529
15; 14; 1
15; 20; 15
15; 22; 3
15; 27; 51
15; 28; 3
15; 29; 97
15; 31; 162
15; 32; 17
15; 33; 3
15; 36; 120
15; 40; 38
15; 50; 2
15; 53; 2
15; 68; 17
15; 69; 8
15; 70; 1
15; 308; 1
