activity_index; type; from_event; to_event; lower_bound; upper_bound; weight
1; "drive"; 1160; 63; 54; 54; 0.0
2; "drive"; 280; 609; 17; 17; 4532.0
3; "wait"; 609; 1222; 1; 5; 2151.0
4; "drive"; 1222; 1228; 16; 16; 3066.0
5; "wait"; 1228; 535; 2; 5; 980.0
6; "drive"; 535; 426; 9; 9; 2765.0
7; "wait"; 426; 159; 1; 5; 2301.0
8; "drive"; 159; 1080; 8; 8; 3734.0
9; "wait"; 1080; 678; 1; 5; 3734.0
10; "drive"; 678; 342; 9; 9; 3734.0
11; "drive"; 128; 620; 10; 10; 93.0
12; "wait"; 620; 1125; 1; 5; 0.0
13; "drive"; 1125; 445; 18; 18; 3272.0
14; "wait"; 445; 150; 2; 5; 962.0
15; "drive"; 150; 579; 27; 27; 11831.0
16; "wait"; 579; 1235; 2; 11; 4785.0
17; "drive"; 1235; 1182; 18; 18; 9457.0
18; "wait"; 1182; 637; 1; 5; 6549.0
19; "drive"; 637; 914; 10; 10; 6549.0
20; "wait"; 914; 307; 0; 5; 6549.0
21; "drive"; 307; 1229; 26; 26; 6893.0
22; "wait"; 1229; 536; 1; 5; 1274.0
23; "drive"; 536; 21; 8; 8; 1274.0
24; "drive"; 92; 393; 53; 54; 720.0
25; "wait"; 393; 1204; 2; 12; 396.0
26; "drive"; 1204; 793; 55; 56; 6543.0
27; "wait"; 793; 350; 0; 5; 5664.0
28; "drive"; 350; 246; 8; 9; 6795.0
29; "wait"; 246; 959; 1; 5; 6101.0
30; "drive"; 959; 838; 9; 9; 6101.0
31; "drive"; 755; 185; 27; 27; 0.0
32; "wait"; 185; 866; 2; 5; 0.0
33; "drive"; 866; 993; 28; 28; 0.0
34; "wait"; 993; 695; 2; 8; 0.0
35; "drive"; 695; 373; 18; 18; 365.0
36; "wait"; 373; 51; 2; 5; 0.0
37; "drive"; 51; 156; 8; 8; 886.0
38; "wait"; 156; 982; 2; 5; 886.0
39; "drive"; 982; 415; 26; 26; 886.0
40; "wait"; 415; 1191; 2; 5; 0.0
41; "drive"; 1191; 1139; 8; 8; 0.0
42; "drive"; 935; 1083; 10; 10; 5007.0
43; "wait"; 1083; 667; 1; 5; 0.0
44; "drive"; 667; 256; 18; 18; 0.0
45; "wait"; 256; 816; 2; 5; 0.0
46; "drive"; 816; 1053; 27; 27; 5652.0
47; "wait"; 1053; 777; 2; 8; 274.0
48; "drive"; 777; 446; 19; 19; 274.0
49; "wait"; 446; 152; 1; 5; 274.0
50; "drive"; 152; 106; 9; 9; 274.0
51; "wait"; 106; 1086; 1; 5; 274.0
52; "drive"; 1086; 387; 17; 17; 274.0
53; "wait"; 387; 43; 2; 5; 0.0
54; "drive"; 43; 586; 5; 5; 0.0
55; "drive"; 499; 1137; 27; 27; 14.0
56; "wait"; 1137; 458; 2; 5; 14.0
57; "drive"; 458; 716; 28; 28; 14.0
58; "wait"; 716; 244; 2; 8; 14.0
59; "drive"; 244; 74; 18; 18; 9350.0
60; "wait"; 74; 917; 2; 5; 0.0
61; "drive"; 917; 983; 9; 9; 0.0
62; "wait"; 983; 719; 1; 5; 0.0
63; "drive"; 719; 254; 18; 18; 0.0
64; "wait"; 254; 813; 1; 5; 0.0
65; "drive"; 813; 232; 5; 5; 0.0
66; "drive"; 543; 1203; 25; 25; 2901.0
67; "wait"; 1203; 625; 2; 5; 1767.0
68; "drive"; 625; 912; 35; 35; 7280.0
69; "wait"; 912; 285; 2; 13; 2832.0
70; "drive"; 285; 929; 27; 27; 7199.0
71; "wait"; 929; 184; 2; 5; 5095.0
72; "drive"; 184; 505; 19; 19; 6175.0
73; "wait"; 505; 22; 0; 5; 4962.0
74; "drive"; 22; 869; 34; 34; 5091.0
75; "wait"; 869; 79; 2; 5; 3588.0
76; "drive"; 79; 612; 14; 14; 3803.0
77; "drive"; 707; 1150; 10; 10; 3135.0
78; "wait"; 1150; 464; 1; 5; 2382.0
79; "drive"; 464; 154; 5; 5; 2891.0
80; "wait"; 154; 985; 1; 5; 973.0
81; "drive"; 985; 155; 3; 3; 3088.0
82; "wait"; 155; 986; 1; 5; 1565.0
83; "drive"; 986; 1156; 11; 11; 2835.0
84; "wait"; 1156; 429; 1; 5; 74.0
85; "drive"; 429; 437; 7; 7; 8563.0
86; "wait"; 437; 160; 2; 5; 3947.0
87; "drive"; 160; 277; 13; 13; 3947.0
88; "wait"; 277; 943; 1; 5; 0.0
89; "drive"; 943; 353; 18; 18; 1877.0
90; "drive"; 81; 936; 25; 25; 22972.0
91; "wait"; 936; 178; 2; 5; 112.0
92; "drive"; 178; 645; 35; 35; 4604.0
93; "wait"; 645; 1129; 2; 13; 508.0
94; "drive"; 1129; 523; 27; 27; 1857.0
95; "wait"; 523; 1169; 2; 9; 1081.0
96; "drive"; 1169; 692; 7; 7; 1218.0
97; "wait"; 692; 273; 1; 5; 756.0
98; "drive"; 273; 592; 3; 3; 1020.0
99; "wait"; 592; 1217; 1; 5; 352.0
100; "drive"; 1217; 944; 8; 8; 352.0
101; "wait"; 944; 196; 1; 5; 41.0
102; "drive"; 196; 1048; 2; 2; 461.0
103; "wait"; 1048; 797; 1; 5; 361.0
104; "drive"; 797; 399; 6; 6; 883.0
105; "wait"; 399; 1193; 1; 5; 413.0
106; "drive"; 1193; 951; 25; 25; 413.0
107; "wait"; 951; 189; 1; 5; 123.0
108; "drive"; 189; 1164; 10; 10; 132.0
109; "wait"; 1164; 427; 1; 5; 65.0
110; "drive"; 427; 1143; 7; 7; 70.0
111; "wait"; 1143; 455; 0; 5; 34.0
112; "drive"; 455; 58; 11; 11; 35.0
113; "wait"; 58; 892; 1; 5; 5.0
114; "drive"; 892; 851; 6; 6; 18.0
115; "wait"; 851; 227; 0; 5; 18.0
116; "drive"; 227; 1167; 12; 12; 58.0
117; "wait"; 1167; 447; 0; 5; 58.0
118; "drive"; 447; 652; 5; 5; 128.0
119; "wait"; 652; 412; 1; 5; 106.0
120; "drive"; 412; 1147; 10; 10; 1025.0
121; "wait"; 1147; 467; 0; 5; 1023.0
122; "drive"; 467; 453; 5; 5; 1484.0
123; "wait"; 453; 125; 2; 5; 45.0
124; "drive"; 125; 994; 3; 3; 5039.0
125; "wait"; 994; 688; 1; 5; 1231.0
126; "drive"; 688; 834; 4; 4; 1386.0
127; "wait"; 834; 201; 0; 5; 603.0
128; "drive"; 201; 1194; 12; 12; 669.0
129; "drive"; 438; 1032; 12; 12; 6383.0
130; "wait"; 1032; 574; 1; 5; 2232.0
131; "drive"; 574; 248; 12; 12; 2965.0
132; "wait"; 248; 968; 1; 5; 2465.0
133; "drive"; 968; 743; 16; 16; 2500.0
134; "wait"; 743; 355; 1; 5; 1649.0
135; "drive"; 355; 859; 7; 7; 4603.0
136; "wait"; 859; 117; 2; 5; 742.0
137; "drive"; 117; 1163; 7; 7; 2178.0
138; "wait"; 1163; 428; 1; 5; 234.0
139; "drive"; 428; 518; 6; 6; 10136.0
140; "wait"; 518; 1157; 1; 5; 8055.0
141; "drive"; 1157; 550; 5; 5; 28604.0
142; "wait"; 550; 1063; 2; 5; 4029.0
143; "drive"; 1063; 146; 5; 5; 45662.0
144; "wait"; 146; 978; 1; 5; 778.0
145; "drive"; 978; 260; 6; 6; 778.0
146; "drive"; 920; 570; 13; 13; 468.0
147; "wait"; 570; 1066; 1; 5; 468.0
148; "drive"; 1066; 807; 9; 9; 531.0
149; "wait"; 807; 214; 1; 5; 0.0
150; "drive"; 214; 406; 6; 6; 1368.0
151; "wait"; 406; 1189; 1; 5; 1207.0
152; "drive"; 1189; 205; 15; 15; 3403.0
153; "wait"; 205; 738; 2; 5; 1234.0
154; "drive"; 738; 1118; 7; 7; 5397.0
155; "wait"; 1118; 546; 1; 5; 5223.0
156; "drive"; 546; 659; 16; 16; 5223.0
157; "drive"; 638; 784; 10; 10; 2566.0
158; "wait"; 784; 378; 1; 5; 2527.0
159; "drive"; 378; 38; 7; 7; 3100.0
160; "wait"; 38; 899; 0; 5; 3100.0
161; "drive"; 899; 877; 19; 19; 3495.0
162; "wait"; 877; 100; 2; 5; 848.0
163; "drive"; 100; 500; 7; 7; 8836.0
164; "wait"; 500; 16; 0; 5; 0.0
165; "drive"; 16; 460; 22; 22; 4562.0
166; "drive"; 343; 969; 53; 54; 14885.0
167; "drive"; 779; 1211; 16; 16; 24719.0
168; "wait"; 1211; 522; 2; 5; 21882.0
169; "drive"; 522; 1029; 8; 8; 25602.0
170; "drive"; 662; 186; 14; 14; 2513.0
171; "wait"; 186; 881; 1; 5; 2513.0
172; "drive"; 881; 352; 11; 11; 4660.0
173; "wait"; 352; 50; 1; 5; 3779.0
174; "drive"; 50; 868; 5; 5; 4107.0
175; "wait"; 868; 108; 2; 5; 1902.0
176; "drive"; 108; 1146; 12; 12; 6418.0
177; "wait"; 1146; 448; 2; 6; 184.0
178; "drive"; 448; 449; 30; 30; 3540.0
179; "wait"; 449; 126; 0; 5; 135.0
180; "drive"; 126; 486; 6; 6; 634.0
181; "wait"; 486; 2; 2; 6; 634.0
182; "drive"; 2; 331; 9; 9; 22309.0
183; "wait"; 331; 830; 0; 5; 15895.0
184; "drive"; 830; 85; 10; 10; 25516.0
185; "wait"; 85; 1084; 0; 5; 17752.0
186; "drive"; 1084; 443; 7; 7; 19822.0
187; "wait"; 443; 122; 2; 5; 5449.0
188; "drive"; 122; 670; 7; 7; 9859.0
189; "wait"; 670; 423; 0; 5; 8285.0
190; "drive"; 423; 295; 10; 10; 8510.0
191; "wait"; 295; 822; 2; 5; 3966.0
192; "drive"; 822; 1037; 14; 14; 4467.0
193; "wait"; 1037; 596; 0; 5; 4001.0
194; "drive"; 596; 380; 9; 9; 4327.0
195; "wait"; 380; 54; 0; 5; 2807.0
196; "drive"; 54; 210; 4; 4; 3502.0
197; "wait"; 210; 744; 1; 5; 2585.0
198; "drive"; 744; 745; 5; 5; 2585.0
199; "wait"; 745; 472; 1; 5; 2314.0
200; "drive"; 472; 121; 9; 9; 5458.0
201; "drive"; 13; 163; 17; 17; 9550.0
202; "wait"; 163; 863; 1; 5; 7891.0
203; "drive"; 863; 1095; 5; 5; 8525.0
204; "wait"; 1095; 679; 1; 5; 8525.0
205; "drive"; 679; 555; 10; 10; 8525.0
206; "wait"; 555; 1043; 2; 5; 1247.0
207; "drive"; 1043; 372; 8; 8; 5813.0
208; "wait"; 372; 68; 2; 5; 5536.0
209; "drive"; 68; 1081; 5; 5; 5558.0
210; "wait"; 1081; 657; 1; 5; 5212.0
211; "drive"; 657; 996; 3; 3; 5251.0
212; "wait"; 996; 712; 1; 5; 4776.0
213; "drive"; 712; 752; 8; 8; 4895.0
214; "drive"; 849; 33; 13; 13; 7416.0
215; "wait"; 33; 900; 1; 5; 293.0
216; "drive"; 900; 798; 6; 6; 369.0
217; "wait"; 798; 374; 0; 5; 0.0
218; "drive"; 374; 461; 7; 7; 117.0
219; "wait"; 461; 162; 1; 5; 110.0
220; "drive"; 162; 804; 5; 5; 1140.0
221; "wait"; 804; 213; 1; 5; 1132.0
222; "drive"; 213; 1244; 13; 13; 1132.0
223; "drive"; 705; 1016; 27; 27; 4169.0
224; "wait"; 1016; 708; 2; 5; 4169.0
225; "drive"; 708; 947; 9; 9; 9929.0
226; "wait"; 947; 164; 2; 5; 5314.0
227; "drive"; 164; 1210; 14; 14; 10105.0
228; "wait"; 1210; 533; 2; 5; 3780.0
229; "drive"; 533; 894; 7; 7; 3780.0
230; "wait"; 894; 309; 1; 5; 0.0
231; "drive"; 309; 439; 16; 16; 10656.0
232; "drive"; 528; 111; 10; 10; 4052.0
233; "wait"; 111; 1093; 1; 5; 4052.0
234; "drive"; 1093; 717; 7; 7; 4052.0
235; "wait"; 717; 258; 1; 5; 2618.0
236; "drive"; 258; 1198; 10; 10; 3083.0
237; "wait"; 1198; 647; 2; 5; 1219.0
238; "drive"; 647; 552; 11; 11; 3384.0
239; "wait"; 552; 1060; 1; 5; 2469.0
240; "drive"; 1060; 346; 20; 20; 4850.0
241; "drive"; 405; 463; 8; 8; 25542.0
242; "wait"; 463; 161; 1; 5; 21882.0
243; "drive"; 161; 876; 17; 17; 24659.0
244; "drive"; 856; 1042; 18; 18; 4777.0
245; "wait"; 1042; 780; 1; 5; 1491.0
246; "drive"; 780; 132; 32; 32; 15155.0
247; "wait"; 132; 992; 2; 5; 5930.0
248; "drive"; 992; 534; 13; 13; 5930.0
249; "wait"; 534; 1168; 2; 5; 5902.0
250; "drive"; 1168; 83; 9; 9; 17211.0
251; "drive"; 577; 384; 7; 7; 2895.0
252; "wait"; 384; 55; 2; 5; 2895.0
253; "drive"; 55; 263; 26; 27; 13992.0
254; "wait"; 263; 971; 0; 5; 13797.0
255; "drive"; 971; 123; 9; 11; 13797.0
256; "wait"; 123; 988; 0; 5; 12755.0
257; "drive"; 988; 941; 18; 20; 27211.0
258; "wait"; 941; 176; 2; 10; 5084.0
259; "drive"; 176; 932; 26; 26; 17448.0
260; "wait"; 932; 169; 2; 5; 6620.0
261; "drive"; 169; 526; 16; 16; 9028.0
262; "wait"; 526; 1138; 1; 5; 5721.0
263; "drive"; 1138; 604; 11; 11; 5721.0
264; "drive"; 677; 478; 6; 6; 5554.0
265; "wait"; 478; 9; 2; 5; 709.0
266; "drive"; 9; 286; 14; 14; 9021.0
267; "wait"; 286; 837; 1; 5; 2933.0
268; "drive"; 837; 182; 10; 10; 2933.0
269; "wait"; 182; 729; 1; 5; 1635.0
270; "drive"; 729; 802; 13; 13; 2232.0
271; "wait"; 802; 223; 2; 5; 987.0
272; "drive"; 223; 1044; 10; 10; 1655.0
273; "wait"; 1044; 785; 1; 5; 0.0
274; "drive"; 785; 517; 9; 9; 1382.0
275; "wait"; 517; 1152; 1; 5; 915.0
276; "drive"; 1152; 394; 10; 10; 3038.0
277; "wait"; 394; 1183; 1; 5; 2978.0
278; "drive"; 1183; 233; 5; 5; 10206.0
279; "wait"; 233; 746; 2; 5; 5350.0
280; "drive"; 746; 324; 15; 15; 11617.0
281; "wait"; 324; 833; 2; 5; 545.0
282; "drive"; 833; 778; 37; 37; 545.0
283; "wait"; 778; 391; 2; 5; 17.0
284; "drive"; 391; 686; 7; 7; 7948.0
285; "drive"; 857; 965; 6; 6; 52.0
286; "wait"; 965; 179; 2; 5; 52.0
287; "drive"; 179; 786; 9; 9; 572.0
288; "wait"; 786; 390; 1; 5; 0.0
289; "drive"; 390; 69; 7; 7; 421.0
290; "wait"; 69; 925; 1; 5; 190.0
291; "drive"; 925; 300; 9; 9; 5613.0
292; "wait"; 300; 824; 1; 5; 2457.0
293; "drive"; 824; 915; 13; 13; 4105.0
294; "wait"; 915; 332; 1; 5; 3071.0
295; "drive"; 332; 392; 17; 17; 4845.0
296; "wait"; 392; 53; 1; 5; 4262.0
297; "drive"; 53; 879; 10; 10; 4937.0
298; "wait"; 879; 114; 1; 5; 4142.0
299; "drive"; 114; 57; 6; 6; 4304.0
300; "wait"; 57; 921; 1; 5; 3643.0
301; "drive"; 921; 143; 15; 15; 4036.0
302; "wait"; 143; 1022; 2; 9; 950.0
303; "drive"; 1022; 624; 11; 11; 950.0
304; "wait"; 624; 1108; 0; 5; 446.0
305; "drive"; 1108; 622; 16; 16; 806.0
306; "wait"; 622; 1109; 1; 5; 0.0
307; "drive"; 1109; 663; 15; 15; 0.0
308; "wait"; 663; 402; 2; 5; 0.0
309; "drive"; 402; 720; 7; 7; 0.0
310; "drive"; 698; 497; 7; 7; 0.0
311; "wait"; 497; 30; 2; 5; 0.0
312; "drive"; 30; 253; 26; 26; 264.0
313; "wait"; 253; 940; 0; 5; 0.0
314; "drive"; 940; 110; 11; 11; 0.0
315; "wait"; 110; 1091; 0; 5; 0.0
316; "drive"; 1091; 926; 20; 20; 0.0
317; "wait"; 926; 320; 2; 8; 0.0
318; "drive"; 320; 333; 56; 56; 2778.0
319; "wait"; 333; 44; 2; 7; 1575.0
320; "drive"; 44; 601; 9; 9; 7367.0
321; "wait"; 601; 1245; 2; 5; 6443.0
322; "drive"; 1245; 45; 13; 13; 12576.0
323; "wait"; 45; 902; 2; 5; 4510.0
324; "drive"; 902; 731; 10; 10; 7491.0
325; "wait"; 731; 484; 1; 5; 5538.0
326; "drive"; 484; 1057; 11; 11; 5538.0
327; "wait"; 1057; 761; 2; 5; 1092.0
328; "drive"; 761; 250; 10; 10; 1181.0
329; "wait"; 250; 952; 1; 5; 1035.0
330; "drive"; 952; 594; 6; 6; 1035.0
331; "drive"; 1004; 896; 8; 8; 229.0
332; "wait"; 896; 291; 2; 5; 219.0
333; "drive"; 291; 269; 8; 8; 270.0
334; "wait"; 269; 960; 1; 5; 270.0
335; "drive"; 960; 668; 55; 57; 3514.0
336; "wait"; 668; 421; 2; 12; 396.0
337; "drive"; 421; 653; 54; 54; 1613.0
338; "drive"; 400; 281; 8; 8; 5232.0
339; "wait"; 281; 962; 1; 5; 2144.0
340; "drive"; 962; 557; 5; 5; 3084.0
341; "wait"; 557; 1069; 0; 5; 2366.0
342; "drive"; 1069; 864; 5; 5; 3142.0
343; "wait"; 864; 86; 0; 5; 2429.0
344; "drive"; 86; 1185; 8; 8; 3908.0
345; "wait"; 1185; 616; 0; 5; 3582.0
346; "drive"; 616; 1106; 15; 15; 4048.0
