event_id; type; stop_id; line_id; line_direction; period
1; "departure"; 128; 31; >; 60
2; "departure"; 139; 16; >; 60
3; "departure"; 140; 31; >; 60
4; "departure"; 72; 33; >; 60
5; "departure"; 51; 62; >; 120
6; "arrival"; 23; 71; >; 60
7; "arrival"; 71; 67; >; 60
8; "arrival"; 66; 63; >; 120
9; "departure"; 124; 24; >; 60
10; "departure"; 95; 51; >; 60
11; "departure"; 127; 50; >; 60
12; "departure"; 107; 55; >; 120
13; "departure"; 15; 17; >; 60
14; "arrival"; 54; 28; >; 60
15; "arrival"; 33; 64; >; 60
16; "departure"; 67; 13; >; 60
17; "departure"; 104; 36; >; 60
18; "departure"; 85; 62; >; 120
19; "arrival"; 122; 71; >; 60
20; "departure"; 81; 39; >; 60
21; "arrival"; 20; 3; >; 120
22; "departure"; 4; 8; >; 120
23; "arrival"; 85; 75; >; 60
24; "arrival"; 35; 62; >; 120
25; "departure"; 94; 71; >; 60
26; "departure"; 117; 28; >; 60
27; "departure"; 98; 35; >; 120
28; "departure"; 110; 31; >; 60
29; "departure"; 36; 80; >; 120
30; "departure"; 124; 26; >; 60
31; "arrival"; 101; 63; >; 120
32; "departure"; 27; 60; >; 60
33; "arrival"; 24; 18; >; 60
34; "departure"; 117; 43; >; 60
35; "departure"; 122; 31; >; 60
36; "departure"; 96; 50; >; 60
37; "departure"; 18; 39; >; 60
38; "arrival"; 105; 13; >; 60
39; "departure"; 23; 31; >; 60
40; "arrival"; 76; 37; >; 60
41; "departure"; 97; 60; >; 60
42; "arrival"; 6; 63; >; 120
43; "departure"; 57; 6; >; 60
44; "departure"; 139; 26; >; 60
45; "arrival"; 129; 26; >; 60
46; "arrival"; 138; 58; >; 60
47; "departure"; 103; 37; >; 60
48; "departure"; 139; 70; >; 120
49; "arrival"; 139; 55; >; 120
50; "departure"; 54; 16; >; 60
51; "departure"; 118; 5; >; 120
52; "departure"; 47; 31; >; 60
53; "departure"; 2; 25; >; 60
54; "departure"; 98; 16; >; 60
55; "departure"; 124; 23; >; 120
56; "departure"; 129; 31; >; 60
57; "arrival"; 123; 25; >; 60
58; "arrival"; 36; 10; >; 120
59; "arrival"; 44; 56; >; 60
60; "departure"; 133; 75; >; 60
61; "departure"; 30; 30; >; 60
62; "departure"; 26; 62; >; 120
63; "arrival"; 139; 1; >; 60
64; "arrival"; 54; 53; >; 60
65; "departure"; 72; 46; >; 120
66; "arrival"; 130; 34; >; 60
67; "departure"; 119; 60; >; 60
68; "departure"; 28; 17; >; 60
69; "arrival"; 103; 25; >; 60
70; "arrival"; 14; 60; >; 60
71; "arrival"; 15; 44; >; 60
72; "departure"; 139; 76; >; 120
73; "arrival"; 139; 40; >; 60
74; "arrival"; 118; 7; >; 120
75; "departure"; 37; 60; >; 60
76; "arrival"; 1; 67; >; 60
77; "departure"; 74; 51; >; 60
78; "arrival"; 38; 40; >; 60
79; "departure"; 13; 8; >; 120
80; "arrival"; 106; 45; >; 60
81; "departure"; 12; 10; >; 120
82; "departure"; 53; 51; >; 60
83; "arrival"; 139; 22; >; 120
84; "arrival"; 139; 33; >; 60
85; "arrival"; 132; 16; >; 60
86; "departure"; 98; 28; >; 60
87; "departure"; 8; 76; >; 120
88; "arrival"; 95; 59; >; 60
89; "departure"; 136; 76; >; 120
90; "arrival"; 68; 44; >; 60
91; "arrival"; 87; 51; >; 60
92; "departure"; 12; 4; >; 30
93; "arrival"; 17; 51; >; 60
94; "arrival"; 129; 70; >; 120
95; "arrival"; 131; 53; >; 60
96; "arrival"; 87; 59; >; 60
97; "departure"; 40; 42; >; 120
98; "departure"; 36; 62; >; 120
99; "departure"; 98; 72; >; 30
100; "departure"; 1; 13; >; 60
101; "arrival"; 65; 37; >; 60
102; "departure"; 31; 34; >; 60
103; "departure"; 13; 33; >; 60
104; "arrival"; 12; 67; >; 60
105; "departure"; 41; 58; >; 60
106; "arrival"; 107; 6; >; 60
107; "departure"; 14; 61; >; 120
108; "departure"; 63; 16; >; 60
109; "departure"; 8; 46; >; 120
110; "arrival"; 118; 26; >; 60
111; "arrival"; 49; 20; >; 60
112; "departure"; 13; 76; >; 120
113; "departure"; 138; 70; >; 120
114; "departure"; 78; 25; >; 60
115; "arrival"; 38; 31; >; 60
116; "departure"; 104; 37; >; 60
117; "departure"; 11; 11; >; 60
118; "arrival"; 65; 36; >; 60
119; "arrival"; 40; 50; >; 60
120; "arrival"; 8; 51; >; 60
121; "arrival"; 30; 16; >; 60
122; "departure"; 87; 16; >; 60
123; "arrival"; 118; 23; >; 120
124; "arrival"; 127; 55; >; 120
125; "departure"; 13; 10; >; 120
126; "departure"; 137; 16; >; 60
127; "departure"; 138; 31; >; 60
128; "departure"; 12; 3; >; 120
129; "departure"; 79; 37; >; 60
130; "arrival"; 110; 40; >; 60
131; "arrival"; 110; 51; >; 60
132; "arrival"; 129; 22; >; 120
133; "arrival"; 116; 80; >; 120
134; "arrival"; 62; 31; >; 60
135; "arrival"; 136; 52; >; 60
136; "departure"; 8; 62; >; 120
137; "arrival"; 89; 51; >; 60
138; "arrival"; 15; 55; >; 120
139; "departure"; 50; 75; >; 60
140; "departure"; 83; 38; >; 60
141; "departure"; 7; 55; >; 120
142; "departure"; 73; 51; >; 60
143; "arrival"; 65; 25; >; 60
144; "arrival"; 15; 41; >; 120
145; "arrival"; 139; 52; >; 60
146; "arrival"; 140; 11; >; 60
147; "departure"; 139; 67; >; 60
148; "departure"; 50; 45; >; 60
149; "arrival"; 85; 41; >; 120
150; "departure"; 85; 3; >; 120
151; "departure"; 115; 38; >; 60
152; "departure"; 118; 6; >; 60
153; "arrival"; 65; 40; >; 60
154; "arrival"; 105; 9; >; 60
155; "arrival"; 43; 9; >; 60
156; "arrival"; 107; 5; >; 120
157; "arrival"; 138; 55; >; 120
158; "arrival"; 46; 63; >; 120
159; "departure"; 80; 2; >; 60
160; "departure"; 135; 9; >; 60
161; "departure"; 75; 21; >; 30
162; "departure"; 54; 18; >; 60
163; "arrival"; 58; 17; >; 60
164; "departure"; 1; 19; >; 60
165; "departure"; 133; 56; >; 60
166; "arrival"; 30; 60; >; 60
167; "arrival"; 43; 47; >; 60
168; "departure"; 138; 71; >; 60
169; "departure"; 85; 23; >; 120
170; "departure"; 27; 29; >; 60
171; "departure"; 120; 60; >; 60
172; "arrival"; 136; 50; >; 60
173; "departure"; 62; 32; >; 30
174; "departure"; 88; 61; >; 120
175; "arrival"; 81; 45; >; 60
176; "departure"; 15; 23; >; 120
177; "departure"; 31; 48; >; 60
178; "departure"; 85; 10; >; 120
179; "departure"; 124; 25; >; 60
180; "departure"; 111; 31; >; 60
181; "arrival"; 3; 63; >; 120
182; "arrival"; 104; 24; >; 60
183; "departure"; 136; 80; >; 120
184; "departure"; 8; 8; >; 120
185; "arrival"; 85; 5; >; 120
186; "arrival"; 24; 16; >; 60
187; "arrival"; 30; 71; >; 60
188; "arrival"; 44; 49; >; 60
189; "departure"; 51; 10; >; 120
190; "arrival"; 129; 56; >; 60
191; "arrival"; 123; 36; >; 60
192; "arrival"; 139; 54; >; 60
193; "arrival"; 139; 58; >; 60
194; "arrival"; 53; 59; >; 60
195; "departure"; 8; 80; >; 120
196; "departure"; 39; 10; >; 120
197; "arrival"; 123; 37; >; 60
198; "arrival"; 18; 45; >; 60
199; "arrival"; 37; 29; >; 60
200; "arrival"; 15; 49; >; 60
201; "departure"; 25; 10; >; 120
202; "arrival"; 12; 41; >; 120
203; "departure"; 94; 56; >; 60
204; "arrival"; 139; 39; >; 60
205; "arrival"; 21; 12; >; 60
206; "departure"; 129; 50; >; 60
207; "arrival"; 90; 60; >; 60
208; "arrival"; 22; 63; >; 120
209; "departure"; 13; 63; >; 120
210; "arrival"; 10; 16; >; 60
