activity_index; type; from_event; to_event; lower_bound; upper_bound; weight
1; "drive"; 4618; 4469; 120; 150; 29576.0
2; "wait"; 4469; 2900; 0; 0; 29576.0
3; "drive"; 2900; 1168; 60; 75; 29576.0
4; "wait"; 1168; 917; 0; 0; 22805.0
5; "drive"; 917; 559; 60; 75; 23619.0
6; "wait"; 559; 3785; 0; 0; 0.0
7; "drive"; 3785; 4269; 120; 150; 0.0
8; "wait"; 4269; 2656; 0; 0; 0.0
9; "drive"; 2656; 3085; 60; 75; 0.0
10; "wait"; 3085; 1456; 0; 0; 0.0
11; "drive"; 1456; 2253; 60; 75; 0.0
12; "wait"; 2253; 340; 0; 0; 0.0
13; "drive"; 340; 683; 60; 75; 0.0
14; "wait"; 683; 3855; 0; 0; 0.0
15; "drive"; 3855; 4479; 120; 150; 0.0
16; "wait"; 4479; 2909; 0; 0; 0.0
17; "drive"; 2909; 3166; 120; 150; 0.0
18; "wait"; 3166; 1437; 0; 0; 0.0
19; "drive"; 1437; 1491; 60; 75; 0.0
20; "wait"; 1491; 60; 0; 0; 0.0
21; "drive"; 60; 605; 60; 75; 0.0
22; "wait"; 605; 3800; 0; 0; 0.0
23; "drive"; 3800; 3872; 60; 75; 0.0
24; "wait"; 3872; 2391; 0; 0; 0.0
25; "drive"; 2391; 1181; 60; 75; 0.0
26; "wait"; 1181; 916; 0; 0; 0.0
27; "drive"; 916; 1753; 60; 75; 0.0
28; "wait"; 1753; 1039; 0; 0; 0.0
29; "drive"; 1039; 46; 120; 150; 0.0
30; "wait"; 46; 4390; 0; 0; 0.0
31; "drive"; 4390; 3606; 120; 150; 0.0
32; "wait"; 3606; 3196; 0; 0; 0.0
33; "drive"; 3196; 1434; 60; 75; 0.0
34; "wait"; 1434; 748; 0; 0; 0.0
35; "drive"; 748; 3370; 60; 75; 0.0
36; "wait"; 3370; 555; 0; 0; 0.0
37; "drive"; 555; 35; 60; 75; 0.0
38; "wait"; 35; 4488; 0; 0; 0.0
39; "drive"; 4488; 3852; 60; 75; 0.0
40; "wait"; 3852; 3105; 0; 0; 0.0
41; "drive"; 3105; 4250; 120; 150; 0.0
42; "wait"; 4250; 2678; 0; 0; 0.0
43; "drive"; 2678; 2999; 60; 75; 0.0
44; "wait"; 2999; 1387; 0; 0; 0.0
45; "drive"; 1387; 1595; 120; 150; 0.0
46; "wait"; 1595; 27; 0; 0; 0.0
47; "drive"; 27; 755; 60; 75; 0.0
48; "wait"; 755; 3685; 0; 0; 0.0
49; "drive"; 3685; 3900; 60; 75; 0.0
50; "drive"; 562; 2212; 60; 75; 0.0
51; "wait"; 2212; 4150; 0; 0; 0.0
52; "drive"; 4150; 1009; 60; 75; 0.0
53; "wait"; 1009; 3956; 0; 0; 0.0
54; "drive"; 3956; 4664; 120; 150; 0.0
55; "wait"; 4664; 2932; 0; 0; 0.0
56; "drive"; 2932; 3396; 60; 75; 0.0
57; "wait"; 3396; 1655; 0; 0; 0.0
58; "drive"; 1655; 148; 120; 150; 0.0
59; "wait"; 148; 4346; 0; 0; 0.0
60; "drive"; 4346; 3766; 60; 75; 0.0
61; "wait"; 3766; 3054; 0; 0; 0.0
62; "drive"; 3054; 4168; 60; 75; 0.0
63; "wait"; 4168; 2722; 0; 0; 0.0
64; "drive"; 2722; 1772; 60; 75; 0.0
65; "wait"; 1772; 305; 0; 0; 0.0
66; "drive"; 305; 1977; 60; 75; 0.0
67; "wait"; 1977; 232; 0; 0; 0.0
68; "drive"; 232; 341; 120; 150; 0.0
69; "wait"; 341; 3683; 0; 0; 0.0
70; "drive"; 3683; 4317; 120; 150; 0.0
71; "wait"; 4317; 2571; 0; 0; 0.0
72; "drive"; 2571; 1618; 60; 75; 0.0
73; "wait"; 1618; 953; 0; 0; 0.0
74; "drive"; 953; 1474; 60; 75; 0.0
