event_id; type; stop_id; line_id; line_direction; period
1; "arrival"; 463; 198; >; 1200
2; "departure"; 82; 125; <; 1800
3; "arrival"; 17; 156; >; 1800
4; "departure"; 429; 109; >; 900
5; "departure"; 551; 192; <; 900
6; "arrival"; 514; 21; <; 1800
7; "arrival"; 538; 153; >; 900
8; "departure"; 492; 46; <; 300
9; "departure"; 44; 201; <; 600
10; "departure"; 496; 44; >; 900
11; "arrival"; 8; 194; <; 600
12; "departure"; 106; 195; <; 600
13; "departure"; 406; 27; <; 1800
14; "departure"; 190; 18; <; 600
15; "departure"; 423; 95; >; 360
16; "departure"; 464; 201; >; 600
17; "arrival"; 478; 28; <; 1800
18; "departure"; 441; 39; >; 1800
19; "arrival"; 331; 71; >; 1800
20; "arrival"; 480; 202; >; 600
21; "departure"; 145; 88; >; 1800
22; "departure"; 429; 184; <; 900
23; "arrival"; 462; 190; <; 900
24; "departure"; 406; 51; >; 300
25; "departure"; 200; 3; <; 1800
26; "departure"; 189; 80; >; 900
27; "departure"; 203; 1; >; 1800
28; "arrival"; 321; 106; >; 1800
29; "departure"; 436; 174; <; 1800
30; "arrival"; 194; 18; >; 600
31; "arrival"; 272; 63; >; 1800
32; "departure"; 133; 11; >; 300
33; "departure"; 379; 4; >; 360
34; "departure"; 540; 65; >; 900
35; "arrival"; 235; 1; >; 1800
36; "arrival"; 449; 195; <; 600
37; "departure"; 500; 19; >; 900
38; "departure"; 522; 28; >; 1800
39; "departure"; 316; 105; <; 1800
40; "departure"; 224; 1; <; 1800
41; "departure"; 520; 187; <; 900
42; "departure"; 463; 207; <; 600
43; "arrival"; 99; 206; >; 600
44; "arrival"; 337; 37; >; 1800
45; "departure"; 358; 42; <; 1800
46; "arrival"; 216; 1; >; 1800
47; "arrival"; 453; 187; >; 900
48; "departure"; 260; 25; <; 1800
49; "arrival"; 251; 29; >; 600
50; "departure"; 30; 185; >; 1800
51; "arrival"; 479; 199; <; 1200
52; "departure"; 168; 156; <; 1800
53; "departure"; 441; 187; <; 900
54; "arrival"; 441; 97; <; 1800
55; "arrival"; 120; 189; <; 900
56; "arrival"; 116; 196; <; 600
57; "arrival"; 463; 201; <; 600
58; "departure"; 476; 192; <; 900
59; "departure"; 339; 28; <; 1800
60; "departure"; 215; 1; >; 1800
61; "departure"; 512; 21; >; 1800
62; "departure"; 308; 54; <; 900
63; "departure"; 554; 34; <; 360
64; "arrival"; 126; 176; <; 1800
65; "departure"; 359; 36; <; 900
66; "departure"; 296; 2; <; 900
67; "departure"; 288; 14; <; 1800
68; "departure"; 545; 192; >; 900
69; "arrival"; 63; 208; <; 600
70; "arrival"; 122; 135; <; 900
71; "departure"; 55; 202; >; 600
72; "arrival"; 69; 199; >; 1200
73; "departure"; 275; 70; <; 900
74; "arrival"; 487; 25; <; 1800
75; "departure"; 557; 153; >; 900
76; "arrival"; 25; 203; <; 600
77; "departure"; 522; 49; >; 900
78; "departure"; 42; 27; >; 1800
79; "arrival"; 118; 209; >; 900
80; "arrival"; 440; 192; >; 900
81; "arrival"; 37; 207; <; 600
82; "departure"; 88; 205; <; 600
83; "arrival"; 25; 203; >; 600
84; "arrival"; 276; 19; <; 900
85; "departure"; 206; 141; <; 1800
86; "arrival"; 537; 50; <; 1800
87; "arrival"; 478; 132; >; 900
88; "departure"; 474; 200; <; 600
89; "arrival"; 12; 205; >; 600
90; "departure"; 201; 4; <; 360
91; "arrival"; 263; 12; <; 1800
92; "arrival"; 554; 189; >; 900
93; "arrival"; 244; 3; >; 1800
94; "departure"; 338; 38; >; 1800
95; "departure"; 329; 71; <; 1800
96; "departure"; 432; 80; >; 900
97; "departure"; 338; 38; <; 1800
98; "arrival"; 104; 210; >; 600
99; "departure"; 156; 81; <; 300
100; "departure"; 448; 96; >; 1800
101; "departure"; 377; 110; >; 1800
102; "arrival"; 254; 9; <; 1800
103; "arrival"; 438; 61; >; 900
104; "departure"; 163; 44; >; 900
105; "departure"; 160; 142; <; 900
106; "departure"; 59; 208; >; 600
107; "arrival"; 573; 51; >; 300
108; "arrival"; 502; 2; >; 900
109; "departure"; 82; 106; <; 1800
110; "arrival"; 421; 139; <; 1800
111; "arrival"; 439; 188; <; 900
