# event_id; type; stop_id; line_id; line_direction; line_freq_repetition
1; "departure"; 364; 1; >; 1
2; "arrival"; 143; 1; >; 1
3; "departure"; 143; 1; >; 1
4; "arrival"; 165; 1; >; 1
5; "departure"; 165; 1; >; 1
6; "arrival"; 202; 1; >; 1
7; "departure"; 202; 1; >; 1
8; "arrival"; 210; 1; >; 1
9; "departure"; 210; 1; >; 1
10; "arrival"; 214; 1; >; 1
11; "departure"; 214; 1; >; 1
12; "arrival"; 221; 1; >; 1
13; "departure"; 221; 1; >; 1
14; "arrival"; 222; 1; >; 1
15; "departure"; 222; 1; >; 1
16; "arrival"; 237; 1; >; 1
17; "departure"; 237; 1; >; 1
18; "arrival"; 223; 1; >; 1
19; "departure"; 223; 1; >; 1
20; "arrival"; 215; 1; >; 1
21; "departure"; 215; 1; >; 1
22; "arrival"; 234; 1; >; 1
23; "departure"; 234; 1; >; 1
24; "arrival"; 224; 1; >; 1
25; "departure"; 224; 1; >; 1
26; "arrival"; 541; 1; >; 1
27; "departure"; 541; 1; >; 1
28; "arrival"; 225; 1; >; 1
29; "departure"; 225; 1; >; 1
30; "arrival"; 216; 1; >; 1
31; "departure"; 216; 1; >; 1
32; "arrival"; 220; 1; >; 1
33; "departure"; 220; 1; >; 1
34; "arrival"; 550; 1; >; 1
35; "departure"; 550; 1; >; 1
36; "arrival"; 217; 1; >; 1
37; "departure"; 217; 1; >; 1
38; "arrival"; 235; 1; >; 1
39; "departure"; 235; 1; >; 1
40; "arrival"; 233; 1; >; 1
41; "departure"; 233; 1; >; 1
42; "arrival"; 212; 1; >; 1
43; "departure"; 212; 1; >; 1
44; "arrival"; 213; 1; >; 1
45; "departure"; 213; 1; >; 1
46; "arrival"; 203; 1; >; 1
47; "departure"; 203; 1; >; 1
48; "arrival"; 211; 1; >; 1
49; "departure"; 211; 1; >; 1
50; "arrival"; 207; 1; >; 1
51; "departure"; 364; 1; >; 2
52; "arrival"; 143; 1; >; 2
53; "departure"; 143; 1; >; 2
54; "arrival"; 165; 1; >; 2
55; "departure"; 165; 1; >; 2
56; "arrival"; 202; 1; >; 2
57; "departure"; 202; 1; >; 2
58; "arrival"; 210; 1; >; 2
59; "departure"; 210; 1; >; 2
60; "arrival"; 214; 1; >; 2
61; "departure"; 214; 1; >; 2
62; "arrival"; 221; 1; >; 2
63; "departure"; 221; 1; >; 2
64; "arrival"; 222; 1; >; 2
65; "departure"; 222; 1; >; 2
66; "arrival"; 237; 1; >; 2
67; "departure"; 237; 1; >; 2
68; "arrival"; 223; 1; >; 2
69; "departure"; 223; 1; >; 2
70; "arrival"; 215; 1; >; 2
71; "departure"; 215; 1; >; 2
72; "arrival"; 234; 1; >; 2
73; "departure"; 234; 1; >; 2
74; "arrival"; 224; 1; >; 2
75; "departure"; 224; 1; >; 2
76; "arrival"; 541; 1; >; 2
77; "departure"; 541; 1; >; 2
78; "arrival"; 225; 1; >; 2
79; "departure"; 225; 1; >; 2
80; "arrival"; 216; 1; >; 2
81; "departure"; 216; 1; >; 2
82; "arrival"; 220; 1; >; 2
83; "departure"; 220; 1; >; 2
84; "arrival"; 550; 1; >; 2
85; "departure"; 550; 1; >; 2
86; "arrival"; 217; 1; >; 2
87; "departure"; 217; 1; >; 2
88; "arrival"; 235; 1; >; 2
89; "departure"; 235; 1; >; 2
90; "arrival"; 233; 1; >; 2
91; "departure"; 233; 1; >; 2
92; "arrival"; 212; 1; >; 2
93; "departure"; 212; 1; >; 2
94; "arrival"; 213; 1; >; 2
95; "departure"; 213; 1; >; 2
96; "arrival"; 203; 1; >; 2
