activity_index; type; from_event; to_event; lower_bound; upper_bound; weight
1; "drive"; 157; 71; 6; 8; 4.0
2; "wait"; 71; 105; 0; 3; 4.0
3; "drive"; 105; 60; 6; 8; 13.0
4; "wait"; 60; 168; 0; 3; 9.0
5; "drive"; 168; 197; 6; 8; 13.0
6; "wait"; 197; 123; 0; 3; 6.0
7; "drive"; 123; 78; 6; 8; 9.0
8; "wait"; 78; 85; 0; 3; 6.0
9; "drive"; 85; 165; 6; 8; 11.0
10; "wait"; 165; 215; 0; 3; 6.0
11; "drive"; 215; 124; 6; 8; 10.0
12; "wait"; 124; 146; 0; 3; 7.0
13; "drive"; 146; 137; 6; 8; 16.0
14; "wait"; 137; 82; 0; 3; 16.0
15; "drive"; 82; 175; 6; 8; 26.0
16; "wait"; 175; 198; 0; 3; 26.0
17; "drive"; 198; 191; 6; 8; 74.0
18; "wait"; 191; 131; 0; 3; 19.0
19; "drive"; 131; 150; 6; 8; 19.0
20; "drive"; 147; 107; 6; 8; 52.0
21; "wait"; 107; 22; 0; 3; 45.0
22; "drive"; 22; 48; 6; 8; 150.0
23; "wait"; 48; 160; 0; 3; 53.0
24; "drive"; 160; 59; 6; 8; 75.0
25; "wait"; 59; 176; 0; 3; 28.0
26; "drive"; 176; 199; 6; 8; 56.0
27; "wait"; 199; 115; 0; 3; 25.0
28; "drive"; 115; 81; 6; 8; 35.0
29; "wait"; 81; 100; 0; 3; 14.0
30; "drive"; 100; 143; 6; 8; 25.0
31; "wait"; 143; 61; 0; 3; 11.0
32; "drive"; 61; 111; 6; 8; 21.0
33; "wait"; 111; 24; 0; 3; 18.0
34; "drive"; 24; 17; 6; 8; 34.0
35; "wait"; 17; 36; 0; 3; 28.0
36; "drive"; 36; 185; 6; 8; 46.0
37; "wait"; 185; 205; 0; 3; 35.0
38; "drive"; 205; 201; 6; 8; 54.0
39; "drive"; 92; 112; 6; 8; 66.0
40; "wait"; 112; 13; 0; 3; 59.0
41; "drive"; 13; 18; 6; 8; 129.0
42; "wait"; 18; 57; 0; 3; 28.0
43; "drive"; 57; 156; 6; 8; 32.0
44; "wait"; 156; 65; 0; 3; 14.0
45; "drive"; 65; 43; 6; 8; 22.0
46; "wait"; 43; 173; 0; 3; 15.0
47; "drive"; 173; 126; 6; 8; 19.0
48; "wait"; 126; 145; 0; 3; 8.0
49; "drive"; 145; 64; 6; 8; 8.0
50; "drive"; 89; 83; 6; 8; 9.0
51; "wait"; 83; 15; 0; 3; 9.0
52; "drive"; 15; 50; 6; 8; 53.0
53; "wait"; 50; 183; 0; 3; 44.0
54; "drive"; 183; 4; 6; 8; 48.0
55; "wait"; 4; 181; 0; 3; 39.0
56; "drive"; 181; 19; 6; 8; 48.0
57; "wait"; 19; 44; 0; 3; 25.0
58; "drive"; 44; 162; 6; 8; 118.0
59; "wait"; 162; 125; 0; 3; 38.0
60; "drive"; 125; 151; 6; 8; 42.0
61; "drive"; 161; 194; 6; 8; 13.0
62; "wait"; 194; 122; 0; 3; 13.0
63; "drive"; 122; 72; 6; 8; 42.0
64; "wait"; 72; 86; 0; 3; 42.0
65; "drive"; 86; 186; 6; 8; 58.0
66; "wait"; 186; 209; 0; 3; 25.0
67; "drive"; 209; 202; 6; 8; 42.0
68; "wait"; 202; 139; 0; 3; 12.0
69; "drive"; 139; 159; 6; 8; 12.0
70; "drive"; 166; 195; 6; 8; 4.0
71; "wait"; 195; 121; 0; 3; 4.0
72; "drive"; 121; 77; 6; 8; 13.0
73; "wait"; 77; 106; 0; 3; 13.0
74; "drive"; 106; 135; 6; 8; 23.0
75; "wait"; 135; 69; 0; 3; 23.0
76; "drive"; 69; 99; 6; 8; 55.0
77; "wait"; 99; 29; 0; 3; 21.0
78; "drive"; 29; 8; 6; 8; 28.0
79; "drive"; 203; 117; 6; 8; 5.0
80; "wait"; 117; 149; 0; 3; 5.0
81; "drive"; 149; 103; 6; 8; 16.0
82; "wait"; 103; 5; 0; 3; 16.0
83; "drive"; 5; 190; 6; 8; 31.0
84; "wait"; 190; 127; 0; 3; 16.0
85; "drive"; 127; 148; 6; 8; 26.0
86; "wait"; 148; 90; 0; 3; 13.0
87; "drive"; 90; 30; 6; 8; 13.0
88; "drive"; 138; 134; 6; 8; 10.0
89; "wait"; 134; 104; 0; 3; 10.0
90; "drive"; 104; 101; 6; 8; 13.0
91; "wait"; 101; 28; 0; 3; 13.0
92; "drive"; 28; 63; 6; 8; 28.0
93; "wait"; 63; 25; 0; 3; 17.0
94; "drive"; 25; 20; 6; 8; 51.0
95; "wait"; 20; 39; 0; 3; 16.0
96; "drive"; 39; 33; 6; 8; 23.0
97; "drive"; 37; 35; 6; 8; 238.0
98; "wait"; 35; 180; 0; 3; 217.0
99; "drive"; 180; 204; 6; 8; 231.0
100; "wait"; 204; 118; 0; 3; 198.0
101; "drive"; 118; 164; 6; 8; 213.0
102; "wait"; 164; 206; 0; 3; 178.0
103; "drive"; 206; 178; 6; 8; 191.0
104; "wait"; 178; 193; 0; 3; 97.0
105; "drive"; 193; 38; 6; 8; 141.0
106; "wait"; 38; 174; 0; 3; 76.0
107; "drive"; 174; 56; 6; 8; 165.0
108; "wait"; 56; 172; 0; 3; 145.0
109; "drive"; 172; 167; 6; 8; 149.0
110; "wait"; 167; 216; 0; 3; 116.0
111; "drive"; 216; 128; 6; 8; 116.0
112; "drive"; 53; 177; 6; 8; 38.0
113; "wait"; 177; 210; 0; 3; 34.0
114; "drive"; 210; 119; 6; 8; 74.0
115; "wait"; 119; 140; 0; 3; 71.0
116; "drive"; 140; 55; 6; 8; 99.0
117; "wait"; 55; 188; 0; 3; 68.0
118; "drive"; 188; 141; 6; 8; 82.0
119; "wait"; 141; 66; 0; 3; 44.0
120; "drive"; 66; 189; 6; 8; 65.0
121; "wait"; 189; 208; 0; 3; 35.0
122; "drive"; 208; 74; 6; 8; 48.0
123; "wait"; 74; 109; 0; 3; 30.0
124; "drive"; 109; 7; 6; 8; 30.0
125; "wait"; 7; 47; 0; 3; 20.0
126; "drive"; 47; 207; 6; 8; 25.0
127; "drive"; 73; 95; 6; 8; 62.0
128; "wait"; 95; 9; 0; 3; 54.0
129; "drive"; 9; 31; 6; 8; 178.0
130; "wait"; 31; 51; 0; 3; 127.0
131; "drive"; 51; 16; 6; 8; 136.0
132; "wait"; 16; 34; 0; 3; 54.0
133; "drive"; 34; 108; 6; 8; 77.0
134; "wait"; 108; 23; 0; 3; 43.0
135; "drive"; 23; 46; 6; 8; 128.0
136; "wait"; 46; 163; 0; 3; 40.0
137; "drive"; 163; 184; 6; 8; 47.0
138; "drive"; 114; 10; 6; 8; 57.0
139; "wait"; 10; 49; 0; 3; 50.0
140; "drive"; 49; 211; 6; 8; 170.0
141; "wait"; 211; 132; 0; 3; 111.0
142; "drive"; 132; 97; 6; 8; 118.0
143; "wait"; 97; 6; 0; 3; 41.0
144; "drive"; 6; 192; 6; 8; 75.0
145; "wait"; 192; 153; 0; 3; 33.0
146; "drive"; 153; 75; 6; 8; 125.0
147; "wait"; 75; 87; 0; 3; 36.0
148; "drive"; 87; 2; 6; 8; 43.0
149; "drive"; 179; 200; 6; 8; 52.0
150; "wait"; 200; 116; 0; 3; 44.0
151; "drive"; 116; 133; 6; 8; 161.0
152; "wait"; 133; 152; 0; 3; 108.0
153; "drive"; 152; 21; 6; 8; 116.0
154; "wait"; 21; 169; 0; 3; 43.0
155; "drive"; 169; 136; 6; 8; 43.0
156; "wait"; 136; 70; 0; 3; 18.0
157; "drive"; 70; 76; 6; 8; 30.0
158; "wait"; 76; 110; 0; 3; 10.0
159; "drive"; 110; 11; 6; 8; 10.0
160; "drive"; 158; 67; 6; 8; 52.0
161; "wait"; 67; 93; 0; 3; 45.0
162; "drive"; 93; 54; 6; 8; 147.0
163; "wait"; 54; 187; 0; 3; 115.0
164; "drive"; 187; 12; 6; 8; 134.0
165; "wait"; 12; 45; 0; 3; 59.0
166; "drive"; 45; 26; 6; 8; 67.0
167; "wait"; 26; 58; 0; 3; 27.0
168; "drive"; 58; 170; 6; 8; 70.0
169; "wait"; 170; 196; 0; 3; 19.0
170; "drive"; 196; 155; 6; 8; 19.0
