# activity_index; type; from_event; to_event; lower_bound; upper_bound
1; "drive"; 1; 2; 6; 8
2; "wait"; 2; 3; 0; 3
3; "drive"; 3; 4; 6; 8
4; "wait"; 4; 5; 0; 3
5; "drive"; 5; 6; 6; 8
6; "wait"; 6; 7; 0; 3
7; "drive"; 7; 8; 6; 8
8; "wait"; 8; 9; 0; 3
9; "drive"; 9; 10; 6; 8
10; "wait"; 10; 11; 0; 3
11; "drive"; 11; 12; 6; 8
12; "wait"; 12; 13; 0; 3
13; "drive"; 13; 14; 6; 8
14; "wait"; 14; 15; 0; 3
15; "drive"; 15; 16; 6; 8
16; "wait"; 16; 17; 0; 3
17; "drive"; 17; 18; 6; 8
18; "wait"; 18; 19; 0; 3
19; "drive"; 19; 20; 6; 8
20; "drive"; 21; 22; 6; 8
21; "wait"; 22; 23; 0; 3
22; "drive"; 23; 24; 6; 8
23; "wait"; 24; 25; 0; 3
24; "drive"; 25; 26; 6; 8
25; "wait"; 26; 27; 0; 3
26; "drive"; 27; 28; 6; 8
27; "wait"; 28; 29; 0; 3
28; "drive"; 29; 30; 6; 8
29; "wait"; 30; 31; 0; 3
30; "drive"; 31; 32; 6; 8
31; "wait"; 32; 33; 0; 3
32; "drive"; 33; 34; 6; 8
33; "wait"; 34; 35; 0; 3
34; "drive"; 35; 36; 6; 8
35; "wait"; 36; 37; 0; 3
36; "drive"; 37; 38; 6; 8
37; "wait"; 38; 39; 0; 3
38; "drive"; 39; 40; 6; 8
39; "drive"; 41; 42; 6; 8
40; "wait"; 42; 43; 0; 3
41; "drive"; 43; 44; 6; 8
42; "wait"; 44; 45; 0; 3
43; "drive"; 45; 46; 6; 8
44; "wait"; 46; 47; 0; 3
45; "drive"; 47; 48; 6; 8
46; "wait"; 48; 49; 0; 3
47; "drive"; 49; 50; 6; 8
48; "wait"; 50; 51; 0; 3
49; "drive"; 51; 52; 6; 8
50; "wait"; 52; 53; 0; 3
51; "drive"; 53; 54; 6; 8
52; "wait"; 54; 55; 0; 3
