# event_id; type; stop_id; line_id; line_direction; line_freq_repetition
1; "departure"; 25; 2; >; 1
2; "arrival"; 24; 2; >; 1
3; "departure"; 24; 2; >; 1
4; "arrival"; 23; 2; >; 1
5; "departure"; 23; 2; >; 1
6; "arrival"; 22; 2; >; 1
7; "departure"; 22; 2; >; 1
8; "arrival"; 21; 2; >; 1
9; "departure"; 21; 2; >; 1
10; "arrival"; 16; 2; >; 1
11; "departure"; 16; 2; >; 1
12; "arrival"; 17; 2; >; 1
13; "departure"; 17; 2; >; 1
14; "arrival"; 18; 2; >; 1
15; "departure"; 18; 2; >; 1
16; "arrival"; 13; 2; >; 1
17; "departure"; 13; 2; >; 1
18; "arrival"; 14; 2; >; 1
19; "departure"; 14; 2; >; 1
20; "arrival"; 15; 2; >; 1
21; "departure"; 25; 2; >; 2
22; "arrival"; 24; 2; >; 2
23; "departure"; 24; 2; >; 2
24; "arrival"; 23; 2; >; 2
25; "departure"; 23; 2; >; 2
26; "arrival"; 22; 2; >; 2
27; "departure"; 22; 2; >; 2
28; "arrival"; 21; 2; >; 2
29; "departure"; 21; 2; >; 2
30; "arrival"; 16; 2; >; 2
31; "departure"; 16; 2; >; 2
32; "arrival"; 17; 2; >; 2
33; "departure"; 17; 2; >; 2
34; "arrival"; 18; 2; >; 2
35; "departure"; 18; 2; >; 2
36; "arrival"; 13; 2; >; 2
37; "departure"; 13; 2; >; 2
38; "arrival"; 14; 2; >; 2
39; "departure"; 14; 2; >; 2
40; "arrival"; 15; 2; >; 2
41; "departure"; 15; 2; <; 1
42; "arrival"; 14; 2; <; 1
43; "departure"; 14; 2; <; 1
44; "arrival"; 13; 2; <; 1
45; "departure"; 13; 2; <; 1
46; "arrival"; 18; 2; <; 1
47; "departure"; 18; 2; <; 1
48; "arrival"; 17; 2; <; 1
49; "departure"; 17; 2; <; 1
50; "arrival"; 16; 2; <; 1
51; "departure"; 16; 2; <; 1
52; "arrival"; 21; 2; <; 1
53; "departure"; 21; 2; <; 1
54; "arrival"; 22; 2; <; 1
55; "departure"; 22; 2; <; 1
56; "arrival"; 23; 2; <; 1
57; "departure"; 23; 2; <; 1
58; "arrival"; 24; 2; <; 1
59; "departure"; 24; 2; <; 1
60; "arrival"; 25; 2; <; 1
61; "departure"; 15; 2; <; 2
62; "arrival"; 14; 2; <; 2
63; "departure"; 14; 2; <; 2
64; "arrival"; 13; 2; <; 2
65; "departure"; 13; 2; <; 2
66; "arrival"; 18; 2; <; 2
67; "departure"; 18; 2; <; 2
68; "arrival"; 17; 2; <; 2
69; "departure"; 17; 2; <; 2
70; "arrival"; 16; 2; <; 2
71; "departure"; 16; 2; <; 2
72; "arrival"; 21; 2; <; 2
73; "departure"; 21; 2; <; 2
74; "arrival"; 22; 2; <; 2
75; "departure"; 22; 2; <; 2
76; "arrival"; 23; 2; <; 2
