activity_index; type; from_event; to_event; lower_bound; upper_bound; weight
1; "drive"; 242; 151; 32; 48; 961.0
2; "wait"; 151; 163; 20; 319; 950.0
3; "drive"; 163; 170; 40; 60; 1643.0
4; "wait"; 170; 86; 20; 319; 1617.0
5; "drive"; 86; 123; 48; 72; 2350.0
6; "wait"; 123; 4; 20; 319; 2245.0
7; "drive"; 4; 9; 32; 48; 3235.0
8; "wait"; 9; 50; 20; 319; 3172.0
9; "drive"; 50; 212; 40; 60; 3688.0
10; "wait"; 212; 222; 20; 319; 3579.0
11; "drive"; 222; 228; 40; 60; 4322.0
12; "wait"; 228; 142; 20; 319; 4190.0
13; "drive"; 142; 184; 24; 36; 4830.0
14; "wait"; 184; 69; 20; 319; 4696.0
15; "drive"; 69; 73; 24; 36; 5255.0
16; "wait"; 73; 116; 20; 319; 5088.0
17; "drive"; 116; 26; 40; 60; 5939.0
18; "wait"; 26; 39; 20; 319; 5803.0
19; "drive"; 39; 44; 24; 36; 6608.0
20; "wait"; 44; 207; 20; 319; 6493.0
21; "drive"; 207; 247; 32; 48; 7391.0
22; "wait"; 247; 127; 20; 319; 7257.0
23; "drive"; 127; 129; 24; 36; 8255.0
24; "wait"; 129; 190; 20; 319; 7949.0
25; "drive"; 190; 88; 32; 48; 8661.0
26; "wait"; 88; 113; 20; 319; 7811.0
27; "drive"; 113; 103; 48; 72; 10639.0
28; "wait"; 103; 35; 20; 319; 10114.0
29; "drive"; 35; 54; 32; 48; 11143.0
30; "wait"; 54; 204; 20; 319; 2423.0
31; "drive"; 204; 193; 40; 60; 3097.0
32; "wait"; 193; 255; 20; 319; 2024.0
33; "drive"; 255; 143; 24; 36; 4342.0
34; "wait"; 143; 172; 20; 319; 3750.0
35; "drive"; 172; 160; 40; 60; 3837.0
36; "wait"; 160; 96; 20; 319; 3292.0
37; "drive"; 96; 118; 32; 48; 3364.0
38; "wait"; 118; 15; 20; 319; 2859.0
39; "drive"; 15; 3; 24; 36; 2921.0
40; "wait"; 3; 61; 20; 319; 2348.0
41; "drive"; 61; 208; 40; 60; 2397.0
42; "wait"; 208; 229; 20; 319; 1795.0
