event_id; type; stop_id; line_id; line_direction; period
1; "departure"; 18; 1; <; 75
2; "departure"; 38; 3; >; 100
3; "arrival"; 21; 1; >; 75
4; "departure"; 4; 1; >; 75
5; "departure"; 5; 1; <; 75
6; "arrival"; 11; 1; <; 75
7; "arrival"; 47; 3; >; 100
8; "departure"; 47; 4; >; 100
9; "arrival"; 5; 1; >; 75
10; "departure"; 31; 2; >; 60
11; "departure"; 39; 4; >; 100
12; "arrival"; 41; 4; <; 100
13; "departure"; 27; 2; >; 60
14; "arrival"; 45; 3; <; 100
15; "departure"; 20; 1; >; 75
16; "arrival"; 33; 2; <; 60
17; "departure"; 30; 2; <; 60
18; "departure"; 42; 3; <; 100
19; "arrival"; 28; 2; >; 60
20; "departure"; 41; 3; >; 100
21; "arrival"; 42; 3; >; 100
22; "departure"; 42; 4; >; 100
23; "departure"; 15; 1; <; 75
24; "arrival"; 30; 3; >; 100
25; "departure"; 30; 4; >; 100
26; "arrival"; 10; 1; >; 75
27; "arrival"; 32; 2; >; 60
28; "arrival"; 37; 3; <; 100
29; "arrival"; 48; 4; >; 100
30; "arrival"; 21; 1; <; 75
31; "arrival"; 25; 2; <; 60
32; "arrival"; 8; 1; <; 75
33; "arrival"; 16; 2; >; 60
34; "arrival"; 39; 3; >; 100
35; "departure"; 15; 1; >; 75
36; "departure"; 48; 4; <; 100
37; "arrival"; 4; 1; <; 75
38; "departure"; 33; 2; <; 60
39; "departure"; 10; 1; >; 75
40; "departure"; 45; 3; <; 100
41; "arrival"; 30; 4; <; 100
42; "arrival"; 47; 4; <; 100
43; "departure"; 41; 4; <; 100
44; "arrival"; 11; 1; >; 75
45; "departure"; 24; 1; <; 75
46; "arrival"; 43; 4; >; 100
47; "departure"; 11; 1; <; 75
48; "departure"; 16; 2; >; 60
49; "arrival"; 14; 2; <; 60
50; "departure"; 5; 1; >; 75
51; "arrival"; 14; 1; <; 75
52; "departure"; 8; 1; <; 75
53; "departure"; 51; 4; <; 100
54; "arrival"; 16; 1; >; 75
55; "departure"; 48; 4; >; 100
56; "arrival"; 39; 4; <; 100
57; "arrival"; 1; 1; <; 75
58; "departure"; 39; 3; >; 100
59; "arrival"; 27; 2; <; 60
60; "departure"; 28; 2; >; 60
61; "departure"; 21; 1; >; 75
62; "departure"; 21; 1; <; 75
63; "departure"; 32; 2; >; 60
64; "departure"; 30; 3; >; 100
65; "arrival"; 44; 4; <; 100
66; "arrival"; 45; 4; <; 100
67; "arrival"; 15; 1; <; 75
68; "departure"; 43; 3; <; 100
69; "departure"; 8; 1; >; 75
70; "departure"; 9; 1; <; 75
71; "departure"; 17; 3; >; 100
72; "arrival"; 2; 1; <; 75
73; "arrival"; 9; 1; >; 75
74; "departure"; 38; 3; <; 100
75; "departure"; 26; 2; <; 60
76; "arrival"; 28; 2; <; 60
77; "departure"; 45; 3; >; 100
78; "arrival"; 41; 4; >; 100
79; "departure"; 22; 1; <; 75
80; "departure"; 35; 2; >; 60
81; "departure"; 37; 3; >; 100
82; "arrival"; 46; 3; >; 100
83; "departure"; 49; 4; <; 100
84; "arrival"; 37; 4; <; 100
85; "departure"; 19; 1; <; 75
86; "departure"; 3; 1; >; 75
87; "arrival"; 12; 1; <; 75
88; "arrival"; 14; 1; >; 75
89; "departure"; 6; 1; <; 75
90; "departure"; 46; 4; >; 100
91; "departure"; 30; 2; >; 60
92; "arrival"; 36; 2; >; 60
93; "departure"; 38; 4; >; 100
94; "arrival"; 46; 3; <; 100
95; "departure"; 31; 2; <; 60
96; "departure"; 19; 1; >; 75
97; "arrival"; 34; 2; <; 60
98; "arrival"; 42; 4; <; 100
99; "departure"; 40; 3; >; 100
100; "arrival"; 27; 2; >; 60
101; "arrival"; 41; 3; >; 100
102; "arrival"; 31; 2; >; 60
103; "arrival"; 15; 1; >; 75
104; "arrival"; 39; 4; >; 100
105; "arrival"; 30; 2; <; 60
106; "arrival"; 42; 3; <; 100
107; "departure"; 2; 1; <; 75
108; "arrival"; 47; 4; >; 100
109; "departure"; 41; 4; >; 100
110; "departure"; 28; 2; <; 60
111; "departure"; 45; 4; <; 100
112; "arrival"; 18; 1; <; 75
113; "departure"; 14; 1; >; 75
114; "arrival"; 38; 3; >; 100
115; "departure"; 34; 2; <; 60
116; "departure"; 9; 1; >; 75
117; "arrival"; 5; 1; <; 75
118; "arrival"; 20; 1; >; 75
119; "departure"; 46; 3; <; 100
120; "arrival"; 48; 4; <; 100
121; "departure"; 42; 4; <; 100
122; "departure"; 12; 1; <; 75
123; "arrival"; 4; 1; >; 75
124; "departure"; 46; 3; >; 100
125; "arrival"; 42; 4; >; 100
126; "arrival"; 30; 4; >; 100
127; "departure"; 12; 1; >; 75
128; "arrival"; 40; 3; <; 100
129; "arrival"; 13; 1; >; 75
130; "arrival"; 29; 2; >; 60
131; "departure"; 35; 2; <; 60
132; "arrival"; 49; 4; <; 100
133; "departure"; 47; 3; <; 100
134; "departure"; 30; 3; <; 100
135; "departure"; 43; 4; <; 100
136; "departure"; 13; 1; <; 75
137; "arrival"; 16; 1; <; 75
138; "departure"; 38; 4; <; 100
139; "departure"; 17; 3; <; 100
140; "arrival"; 45; 4; >; 100
141; "departure"; 50; 4; >; 100
142; "departure"; 7; 1; >; 75
143; "arrival"; 18; 1; >; 75
144; "arrival"; 3; 1; <; 75
145; "departure"; 32; 2; <; 60
146; "departure"; 44; 3; <; 100
147; "arrival"; 46; 4; <; 100
148; "departure"; 40; 4; <; 100
149; "departure"; 23; 1; <; 75
150; "departure"; 39; 3; <; 100
151; "arrival"; 2; 1; >; 75
152; "departure"; 23; 1; >; 75
153; "departure"; 10; 1; <; 75
154; "departure"; 14; 2; >; 60
155; "departure"; 44; 3; >; 100
156; "arrival"; 40; 4; >; 100
157; "departure"; 17; 4; >; 100
158; "departure"; 34; 2; >; 60
159; "arrival"; 45; 3; >; 100
160; "arrival"; 19; 1; >; 75
161; "departure"; 45; 4; >; 100
162; "departure"; 26; 2; >; 60
163; "departure"; 2; 1; >; 75
164; "arrival"; 35; 2; >; 60
165; "arrival"; 22; 1; <; 75
166; "departure"; 16; 1; <; 75
167; "departure"; 29; 2; >; 60
168; "arrival"; 17; 3; >; 100
169; "arrival"; 51; 4; >; 100
170; "arrival"; 3; 1; >; 75
171; "arrival"; 9; 1; <; 75
172; "departure"; 18; 1; >; 75
173; "departure"; 40; 3; <; 100
174; "departure"; 37; 4; >; 100
175; "arrival"; 26; 2; <; 60
176; "arrival"; 38; 3; <; 100
177; "arrival"; 24; 1; >; 75
