# activity_index;   type;   from_event;   to_event;   lower_bound;   upper_bound
1; "drive"; 1; 2; 32; 48
2; "wait"; 2; 3; 20; 319
3; "drive"; 3; 4; 40; 60
4; "wait"; 4; 5; 20; 319
5; "drive"; 5; 6; 48; 72
6; "wait"; 6; 7; 20; 319
7; "drive"; 7; 8; 32; 48
8; "wait"; 8; 9; 20; 319
9; "drive"; 9; 10; 40; 60
10; "wait"; 10; 11; 20; 319
11; "drive"; 11; 12; 40; 60
12; "wait"; 12; 13; 20; 319
13; "drive"; 13; 14; 24; 36
14; "wait"; 14; 15; 20; 319
15; "drive"; 15; 16; 24; 36
16; "wait"; 16; 17; 20; 319
17; "drive"; 17; 18; 40; 60
18; "wait"; 18; 19; 20; 319
19; "drive"; 19; 20; 24; 36
20; "wait"; 20; 21; 20; 319
21; "drive"; 21; 22; 32; 48
22; "wait"; 22; 23; 20; 319
23; "drive"; 23; 24; 24; 36
24; "wait"; 24; 25; 20; 319
25; "drive"; 25; 26; 32; 48
26; "wait"; 26; 27; 20; 319
27; "drive"; 27; 28; 48; 72
28; "wait"; 28; 29; 20; 319
29; "drive"; 29; 30; 32; 48
30; "wait"; 30; 31; 20; 319
31; "drive"; 31; 32; 40; 60
32; "wait"; 32; 33; 20; 319
33; "drive"; 33; 34; 24; 36
34; "wait"; 34; 35; 20; 319
35; "drive"; 35; 36; 40; 60
36; "wait"; 36; 37; 20; 319
37; "drive"; 37; 38; 32; 48
38; "wait"; 38; 39; 20; 319
39; "drive"; 39; 40; 24; 36
40; "wait"; 40; 41; 20; 319
41; "drive"; 41; 42; 40; 60
42; "wait"; 42; 43; 20; 319
43; "drive"; 43; 44; 48; 72
44; "wait"; 44; 45; 20; 319
45; "drive"; 45; 46; 56; 84
46; "drive"; 47; 48; 32; 48
47; "wait"; 48; 49; 20; 319
48; "drive"; 49; 50; 40; 60
49; "wait"; 50; 51; 20; 319
50; "drive"; 51; 52; 48; 72
51; "wait"; 52; 53; 20; 319
52; "drive"; 53; 54; 32; 48
53; "wait"; 54; 55; 20; 319
54; "drive"; 55; 56; 40; 60
55; "wait"; 56; 57; 20; 319
56; "drive"; 57; 58; 40; 60
57; "wait"; 58; 59; 20; 319
58; "drive"; 59; 60; 24; 36
59; "wait"; 60; 61; 20; 319
60; "drive"; 61; 62; 24; 36
61; "wait"; 62; 63; 20; 319
62; "drive"; 63; 64; 40; 60
63; "wait"; 64; 65; 20; 319
64; "drive"; 65; 66; 24; 36
65; "wait"; 66; 67; 20; 319
66; "drive"; 67; 68; 32; 48
67; "wait"; 68; 69; 20; 319
68; "drive"; 69; 70; 24; 36
69; "wait"; 70; 71; 20; 319
70; "drive"; 71; 72; 32; 48
71; "wait"; 72; 73; 20; 319
72; "drive"; 73; 74; 48; 72
73; "wait"; 74; 75; 20; 319
74; "drive"; 75; 76; 32; 48
75; "wait"; 76; 77; 20; 319
76; "drive"; 77; 78; 40; 60
77; "wait"; 78; 79; 20; 319
78; "drive"; 79; 80; 24; 36
79; "wait"; 80; 81; 20; 319
80; "drive"; 81; 82; 40; 60
81; "wait"; 82; 83; 20; 319
82; "drive"; 83; 84; 32; 48
83; "wait"; 84; 85; 20; 319
84; "drive"; 85; 86; 24; 36
85; "wait"; 86; 87; 20; 319
86; "drive"; 87; 88; 40; 60
87; "wait"; 88; 89; 20; 319
88; "drive"; 89; 90; 48; 72
89; "wait"; 90; 91; 20; 319
90; "drive"; 91; 92; 56; 84
91; "drive"; 93; 94; 32; 48
92; "wait"; 94; 95; 20; 319
93; "drive"; 95; 96; 40; 60
94; "wait"; 96; 97; 20; 319
95; "drive"; 97; 98; 48; 72
96; "wait"; 98; 99; 20; 319
97; "drive"; 99; 100; 32; 48
98; "wait"; 100; 101; 20; 319
99; "drive"; 101; 102; 40; 60
100; "wait"; 102; 103; 20; 319
101; "drive"; 103; 104; 40; 60
102; "wait"; 104; 105; 20; 319
103; "drive"; 105; 106; 24; 36
104; "wait"; 106; 107; 20; 319
105; "drive"; 107; 108; 24; 36
106; "wait"; 108; 109; 20; 319
107; "drive"; 109; 110; 40; 60
108; "wait"; 110; 111; 20; 319
109; "drive"; 111; 112; 24; 36
110; "wait"; 112; 113; 20; 319
