activity_index; type; from_event; to_event; lower_bound; upper_bound; weight
1; "drive"; 16; 6; 3; 6; 8555.0
2; "wait"; 6; 62; 1; 3; 4095.0
3; "drive"; 62; 51; 1; 5; 16597.0
4; "wait"; 51; 193; 1; 3; 7714.0
5; "drive"; 193; 185; 1; 5; 11563.0
6; "wait"; 185; 230; 1; 3; 1647.0
7; "drive"; 230; 146; 1; 5; 4821.0
8; "wait"; 146; 165; 1; 3; 4821.0
9; "drive"; 165; 161; 1; 5; 4821.0
10; "wait"; 161; 84; 1; 3; 4821.0
11; "drive"; 84; 109; 1; 5; 4821.0
12; "wait"; 109; 13; 1; 3; 1473.0
13; "drive"; 13; 1; 1; 5; 1473.0
14; "wait"; 1; 59; 1; 3; 1473.0
15; "drive"; 59; 197; 1; 5; 12533.0
16; "wait"; 197; 218; 1; 3; 2225.0
17; "drive"; 218; 210; 1; 5; 2225.0
18; "wait"; 210; 154; 1; 3; 1569.0
19; "drive"; 154; 139; 1; 5; 5743.0
20; "wait"; 139; 67; 1; 3; 1768.0
21; "drive"; 67; 87; 1; 5; 1768.0
22; "wait"; 87; 120; 1; 3; 0.0
23; "drive"; 120; 107; 1; 5; 0.0
24; "drive"; 127; 85; 1; 5; 0.0
25; "wait"; 85; 112; 1; 3; 0.0
26; "drive"; 112; 17; 1; 5; 6067.0
27; "wait"; 17; 34; 1; 3; 6067.0
28; "drive"; 34; 181; 1; 5; 16012.0
29; "wait"; 181; 150; 1; 3; 3287.0
30; "drive"; 150; 173; 1; 5; 3287.0
31; "wait"; 173; 81; 1; 3; 3287.0
32; "drive"; 81; 97; 1; 5; 9581.0
33; "wait"; 97; 10; 1; 3; 1628.0
34; "drive"; 10; 201; 1; 5; 1628.0
35; "wait"; 201; 228; 1; 3; 1628.0
36; "drive"; 228; 131; 1; 5; 6246.0
37; "wait"; 131; 166; 1; 3; 6246.0
38; "drive"; 166; 117; 1; 5; 6246.0
39; "wait"; 117; 32; 1; 3; 6246.0
40; "drive"; 32; 41; 1; 5; 6246.0
41; "wait"; 41; 194; 1; 3; 2134.0
42; "drive"; 194; 155; 1; 5; 18994.0
43; "wait"; 155; 171; 1; 3; 9272.0
44; "drive"; 171; 105; 1; 5; 15658.0
45; "wait"; 105; 4; 1; 3; 2089.0
46; "drive"; 4; 207; 3; 6; 2089.0
47; "drive"; 60; 221; 1; 5; 0.0
48; "wait"; 221; 128; 1; 3; 0.0
49; "drive"; 128; 180; 1; 5; 0.0
50; "wait"; 180; 80; 1; 3; 0.0
51; "drive"; 80; 102; 1; 5; 0.0
52; "wait"; 102; 23; 1; 3; 0.0
53; "drive"; 23; 205; 1; 5; 7189.0
54; "wait"; 205; 219; 1; 3; 7189.0
55; "drive"; 219; 136; 1; 5; 7189.0
56; "wait"; 136; 177; 1; 3; 6052.0
57; "drive"; 177; 121; 1; 5; 6266.0
58; "wait"; 121; 14; 1; 3; 6052.0
59; "drive"; 14; 39; 1; 5; 10872.0
60; "wait"; 39; 208; 1; 3; 10176.0
61; "drive"; 208; 129; 1; 5; 13046.0
62; "wait"; 129; 172; 1; 3; 102.0
63; "drive"; 172; 78; 3; 6; 786.0
64; "drive"; 137; 79; 3; 6; 0.0
65; "wait"; 79; 118; 1; 3; 0.0
66; "drive"; 118; 113; 1; 5; 8270.0
67; "wait"; 113; 24; 1; 3; 5562.0
68; "drive"; 24; 8; 1; 5; 5920.0
69; "wait"; 8; 42; 1; 3; 2480.0
70; "drive"; 42; 200; 1; 5; 2635.0
71; "wait"; 200; 225; 1; 3; 2480.0
72; "drive"; 225; 212; 1; 5; 3062.0
73; "wait"; 212; 140; 1; 3; 3062.0
74; "drive"; 140; 175; 1; 5; 3062.0
75; "wait"; 175; 88; 1; 3; 1118.0
76; "drive"; 88; 65; 1; 5; 1515.0
77; "wait"; 65; 108; 1; 3; 361.0
78; "drive"; 108; 22; 1; 5; 617.0
79; "wait"; 22; 63; 1; 3; 159.0
80; "drive"; 63; 43; 1; 5; 386.0
81; "drive"; 40; 190; 1; 5; 3574.0
82; "wait"; 190; 229; 1; 3; 3574.0
83; "drive"; 229; 176; 1; 5; 3574.0
84; "wait"; 176; 70; 1; 3; 2944.0
85; "drive"; 70; 98; 1; 5; 2944.0
86; "wait"; 98; 30; 1; 3; 1091.0
87; "drive"; 30; 99; 1; 5; 1091.0
88; "wait"; 99; 27; 1; 3; 1091.0
89; "drive"; 27; 57; 1; 5; 8941.0
90; "wait"; 57; 191; 1; 3; 8941.0
91; "drive"; 191; 189; 1; 5; 8941.0
92; "wait"; 189; 231; 1; 3; 6559.0
93; "drive"; 231; 209; 1; 5; 11824.0
94; "wait"; 209; 149; 1; 3; 287.0
95; "drive"; 149; 169; 3; 6; 14771.0
96; "drive"; 46; 226; 3; 6; 0.0
97; "wait"; 226; 157; 1; 3; 0.0
98; "drive"; 157; 77; 1; 5; 7943.0
99; "wait"; 77; 124; 1; 3; 3002.0
100; "drive"; 124; 5; 1; 5; 3795.0
101; "wait"; 5; 44; 1; 3; 3795.0
102; "drive"; 44; 223; 1; 5; 3795.0
103; "wait"; 223; 152; 1; 3; 863.0
104; "drive"; 152; 122; 1; 5; 863.0
105; "wait"; 122; 28; 1; 3; 466.0
106; "drive"; 28; 11; 1; 5; 496.0
107; "wait"; 11; 45; 1; 3; 240.0
108; "drive"; 45; 203; 1; 5; 2521.0
109; "wait"; 203; 232; 1; 3; 2294.0
110; "drive"; 232; 213; 1; 5; 2752.0
111; "drive"; 167; 66; 3; 6; 0.0
112; "wait"; 66; 125; 1; 3; 0.0
113; "drive"; 125; 55; 3; 6; 54268.0
114; "wait"; 55; 182; 1; 3; 30350.0
115; "drive"; 182; 211; 3; 6; 30350.0
116; "wait"; 211; 144; 1; 3; 0.0
117; "drive"; 144; 74; 1; 5; 1978.0
118; "wait"; 74; 93; 1; 3; 561.0
119; "drive"; 93; 2; 1; 5; 2154.0
120; "wait"; 2; 56; 1; 3; 1268.0
121; "drive"; 56; 196; 1; 5; 1268.0
122; "wait"; 196; 132; 1; 3; 669.0
123; "drive"; 132; 76; 1; 5; 669.0
124; "wait"; 76; 116; 1; 3; 0.0
125; "drive"; 116; 35; 1; 5; 0.0
126; "drive"; 75; 72; 1; 5; 153.0
