event_id; type; stop_id; line_id; line_direction; period
1; "arrival"; 10; 1; >; 30
2; "arrival"; 17; 4; >; 30
3; "departure"; 20; 9; <; 60
4; "departure"; 2; 1; <; 30
5; "arrival"; 32; 3; <; 30
6; "arrival"; 2; 1; >; 30
7; "arrival"; 21; 9; <; 60
8; "arrival"; 24; 2; <; 30
9; "departure"; 18; 6; >; 60
10; "departure"; 10; 1; <; 30
11; "arrival"; 28; 3; <; 30
12; "arrival"; 21; 7; >; 30
13; "departure"; 9; 1; >; 30
14; "departure"; 24; 2; >; 30
15; "departure"; 16; 6; <; 60
16; "departure"; 34; 1; >; 30
17; "arrival"; 13; 1; <; 30
18; "arrival"; 19; 6; <; 60
19; "departure"; 34; 6; <; 60
20; "arrival"; 3; 7; <; 30
21; "arrival"; 34; 9; >; 60
22; "arrival"; 29; 2; <; 30
23; "departure"; 27; 2; >; 30
24; "departure"; 23; 2; <; 30
25; "arrival"; 20; 7; <; 30
26; "arrival"; 17; 4; <; 30
27; "departure"; 31; 3; >; 30
28; "departure"; 27; 3; <; 30
29; "departure"; 34; 7; >; 30
30; "departure"; 27; 3; >; 30
31; "arrival"; 19; 6; >; 60
32; "departure"; 7; 1; <; 30
33; "departure"; 21; 7; >; 30
34; "departure"; 13; 1; <; 30
35; "arrival"; 11; 4; >; 30
36; "departure"; 3; 7; <; 30
37; "arrival"; 21; 9; >; 60
38; "arrival"; 2; 7; >; 30
39; "arrival"; 23; 2; >; 30
40; "departure"; 30; 3; >; 30
41; "arrival"; 6; 1; <; 30
42; "departure"; 24; 2; <; 30
43; "arrival"; 30; 2; <; 30
44; "departure"; 32; 3; <; 30
45; "departure"; 28; 3; <; 30
46; "departure"; 20; 3; <; 30
47; "arrival"; 18; 4; <; 30
48; "departure"; 21; 13; <; 60
49; "arrival"; 21; 7; <; 30
50; "departure"; 1; 9; <; 60
51; "arrival"; 5; 1; >; 30
52; "departure"; 20; 7; <; 30
53; "departure"; 17; 4; <; 30
54; "departure"; 19; 6; >; 60
55; "arrival"; 20; 4; >; 30
56; "departure"; 17; 4; >; 30
57; "arrival"; 32; 3; >; 30
58; "departure"; 19; 6; <; 60
59; "departure"; 10; 1; >; 30
60; "departure"; 30; 2; >; 30
61; "departure"; 34; 9; >; 60
62; "departure"; 2; 1; >; 30
63; "departure"; 29; 2; <; 30
64; "departure"; 19; 7; >; 30
65; "arrival"; 28; 2; <; 30
66; "arrival"; 21; 4; >; 30
67; "departure"; 13; 1; >; 30
68; "arrival"; 16; 4; <; 30
69; "arrival"; 19; 7; <; 30
70; "departure"; 28; 3; >; 30
71; "arrival"; 19; 9; >; 60
72; "arrival"; 12; 4; <; 30
73; "departure"; 17; 6; >; 60
74; "arrival"; 18; 4; >; 30
75; "departure"; 11; 4; <; 30
76; "arrival"; 12; 4; >; 30
77; "arrival"; 33; 3; <; 30
78; "arrival"; 22; 2; >; 30
79; "arrival"; 21; 2; <; 30
80; "departure"; 28; 2; >; 30
81; "departure"; 11; 1; <; 30
82; "departure"; 34; 7; <; 30
83; "arrival"; 19; 9; <; 60
84; "departure"; 8; 1; >; 30
85; "arrival"; 14; 1; <; 30
86; "arrival"; 11; 6; <; 60
87; "arrival"; 14; 1; >; 30
88; "departure"; 27; 2; <; 30
89; "departure"; 17; 6; <; 60
90; "departure"; 22; 7; >; 30
91; "arrival"; 21; 4; <; 30
92; "departure"; 12; 4; <; 30
93; "departure"; 18; 4; >; 30
94; "departure"; 16; 4; <; 30
95; "departure"; 19; 9; >; 60
96; "departure"; 19; 7; <; 30
97; "arrival"; 10; 1; <; 30
98; "arrival"; 27; 3; >; 30
99; "arrival"; 31; 3; >; 30
100; "arrival"; 1; 6; >; 60
101; "arrival"; 16; 6; <; 60
102; "arrival"; 27; 2; >; 30
103; "arrival"; 22; 4; <; 30
104; "arrival"; 20; 9; <; 60
105; "arrival"; 2; 1; <; 30
106; "arrival"; 18; 6; >; 60
107; "arrival"; 15; 1; >; 30
108; "departure"; 28; 2; <; 30
109; "arrival"; 9; 1; >; 30
110; "departure"; 21; 4; <; 30
111; "departure"; 19; 9; <; 60
112; "departure"; 14; 1; <; 30
