# activity_index; type; from_event; to_event; lower_bound; upper_bound
1; "drive"; 1; 2; 3; 6
2; "wait"; 2; 3; 1; 3
3; "drive"; 3; 4; 1; 5
4; "wait"; 4; 5; 1; 3
5; "drive"; 5; 6; 1; 5
6; "wait"; 6; 7; 1; 3
7; "drive"; 7; 8; 1; 5
8; "wait"; 8; 9; 1; 3
9; "drive"; 9; 10; 1; 5
10; "wait"; 10; 11; 1; 3
11; "drive"; 11; 12; 1; 5
12; "wait"; 12; 13; 1; 3
13; "drive"; 13; 14; 1; 5
14; "wait"; 14; 15; 1; 3
15; "drive"; 15; 16; 1; 5
16; "wait"; 16; 17; 1; 3
17; "drive"; 17; 18; 1; 5
18; "wait"; 18; 19; 1; 3
19; "drive"; 19; 20; 1; 5
20; "wait"; 20; 21; 1; 3
21; "drive"; 21; 22; 1; 5
22; "wait"; 22; 23; 1; 3
23; "drive"; 23; 24; 1; 5
24; "drive"; 25; 26; 3; 6
25; "wait"; 26; 27; 1; 3
26; "drive"; 27; 28; 1; 5
27; "wait"; 28; 29; 1; 3
28; "drive"; 29; 30; 1; 5
29; "wait"; 30; 31; 1; 3
30; "drive"; 31; 32; 1; 5
31; "wait"; 32; 33; 1; 3
32; "drive"; 33; 34; 1; 5
33; "wait"; 34; 35; 1; 3
34; "drive"; 35; 36; 1; 5
35; "wait"; 36; 37; 1; 3
36; "drive"; 37; 38; 1; 5
37; "wait"; 38; 39; 1; 3
38; "drive"; 39; 40; 1; 5
39; "wait"; 40; 41; 1; 3
40; "drive"; 41; 42; 1; 5
41; "wait"; 42; 43; 1; 3
42; "drive"; 43; 44; 1; 5
43; "wait"; 44; 45; 1; 3
44; "drive"; 45; 46; 1; 5
45; "wait"; 46; 47; 1; 3
46; "drive"; 47; 48; 1; 5
47; "drive"; 49; 50; 1; 5
48; "wait"; 50; 51; 1; 3
49; "drive"; 51; 52; 1; 5
50; "wait"; 52; 53; 1; 3
51; "drive"; 53; 54; 1; 5
52; "wait"; 54; 55; 1; 3
53; "drive"; 55; 56; 1; 5
54; "wait"; 56; 57; 1; 3
55; "drive"; 57; 58; 1; 5
56; "wait"; 58; 59; 1; 3
57; "drive"; 59; 60; 1; 5
58; "wait"; 60; 61; 1; 3
59; "drive"; 61; 62; 1; 5
60; "wait"; 62; 63; 1; 3
61; "drive"; 63; 64; 1; 5
62; "wait"; 64; 65; 1; 3
63; "drive"; 65; 66; 1; 5
64; "wait"; 66; 67; 1; 3
65; "drive"; 67; 68; 1; 5
66; "wait"; 68; 69; 1; 3
67; "drive"; 69; 70; 1; 5
68; "wait"; 70; 71; 1; 3
69; "drive"; 71; 72; 3; 6
70; "drive"; 73; 74; 1; 5
71; "wait"; 74; 75; 1; 3
72; "drive"; 75; 76; 1; 5
73; "wait"; 76; 77; 1; 3
74; "drive"; 77; 78; 1; 5
75; "wait"; 78; 79; 1; 3
76; "drive"; 79; 80; 1; 5
77; "wait"; 80; 81; 1; 3
78; "drive"; 81; 82; 1; 5
79; "wait"; 82; 83; 1; 3
80; "drive"; 83; 84; 1; 5
81; "wait"; 84; 85; 1; 3
82; "drive"; 85; 86; 1; 5
83; "wait"; 86; 87; 1; 3
84; "drive"; 87; 88; 1; 5
85; "wait"; 88; 89; 1; 3
86; "drive"; 89; 90; 1; 5
87; "wait"; 90; 91; 1; 3
88; "drive"; 91; 92; 1; 5
89; "wait"; 92; 93; 1; 3
90; "drive"; 93; 94; 1; 5
91; "wait"; 94; 95; 1; 3
92; "drive"; 95; 96; 3; 6
93; "drive"; 97; 98; 1; 5
94; "wait"; 98; 99; 1; 3
95; "drive"; 99; 100; 1; 5
96; "wait"; 100; 101; 1; 3
97; "drive"; 101; 102; 1; 5
98; "wait"; 102; 103; 1; 3
99; "drive"; 103; 104; 1; 5
100; "wait"; 104; 105; 1; 3
101; "drive"; 105; 106; 1; 5
102; "wait"; 106; 107; 1; 3
103; "drive"; 107; 108; 1; 5
104; "wait"; 108; 109; 1; 3
105; "drive"; 109; 110; 1; 5
106; "wait"; 110; 111; 1; 3
107; "drive"; 111; 112; 1; 5
108; "wait"; 112; 113; 1; 3
109; "drive"; 113; 114; 3; 6
110; "drive"; 115; 116; 1; 5
111; "wait"; 116; 117; 1; 3
112; "drive"; 117; 118; 1; 5
113; "wait"; 118; 119; 1; 3
114; "drive"; 119; 120; 1; 5
115; "wait"; 120; 121; 1; 3
116; "drive"; 121; 122; 1; 5
117; "wait"; 122; 123; 1; 3
118; "drive"; 123; 124; 1; 5
119; "wait"; 124; 125; 1; 3
120; "drive"; 125; 126; 1; 5
121; "wait"; 126; 127; 1; 3
122; "drive"; 127; 128; 1; 5
123; "wait"; 128; 129; 1; 3
124; "drive"; 129; 130; 1; 5
125; "wait"; 130; 131; 1; 3
126; "drive"; 131; 132; 3; 6
127; "drive"; 133; 134; 3; 6
128; "wait"; 134; 135; 1; 3
129; "drive"; 135; 136; 1; 5
130; "wait"; 136; 137; 1; 3
131; "drive"; 137; 138; 1; 5
132; "wait"; 138; 139; 1; 3
133; "drive"; 139; 140; 1; 5
134; "wait"; 140; 141; 1; 3
135; "drive"; 141; 142; 1; 5
136; "wait"; 142; 143; 1; 3
137; "drive"; 143; 144; 1; 5
138; "wait"; 144; 145; 1; 3
139; "drive"; 145; 146; 1; 5
140; "wait"; 146; 147; 1; 3
141; "drive"; 147; 148; 1; 5
142; "wait"; 148; 149; 1; 3
143; "drive"; 149; 150; 1; 5
144; "drive"; 151; 152; 3; 6
145; "wait"; 152; 153; 1; 3
146; "drive"; 153; 154; 1; 5
147; "wait"; 154; 155; 1; 3
148; "drive"; 155; 156; 1; 5
149; "wait"; 156; 157; 1; 3
150; "drive"; 157; 158; 1; 5
151; "wait"; 158; 159; 1; 3
152; "drive"; 159; 160; 1; 5
153; "wait"; 160; 161; 1; 3
154; "drive"; 161; 162; 1; 5
155; "wait"; 162; 163; 1; 3
156; "drive"; 163; 164; 1; 5
157; "wait"; 164; 165; 1; 3
