# event_id; type; stop_id; line_id; line_direction; line_freq_repetition
1; "departure"; 34; 1; >; 1
2; "arrival"; 2; 1; >; 1
3; "departure"; 2; 1; >; 1
4; "arrival"; 5; 1; >; 1
5; "departure"; 5; 1; >; 1
6; "arrival"; 6; 1; >; 1
7; "departure"; 6; 1; >; 1
8; "arrival"; 7; 1; >; 1
9; "departure"; 7; 1; >; 1
10; "arrival"; 8; 1; >; 1
11; "departure"; 8; 1; >; 1
12; "arrival"; 9; 1; >; 1
13; "departure"; 9; 1; >; 1
14; "arrival"; 10; 1; >; 1
15; "departure"; 10; 1; >; 1
16; "arrival"; 11; 1; >; 1
17; "departure"; 11; 1; >; 1
18; "arrival"; 12; 1; >; 1
19; "departure"; 12; 1; >; 1
20; "arrival"; 13; 1; >; 1
21; "departure"; 13; 1; >; 1
22; "arrival"; 14; 1; >; 1
23; "departure"; 14; 1; >; 1
24; "arrival"; 15; 1; >; 1
25; "departure"; 34; 1; >; 2
26; "arrival"; 2; 1; >; 2
27; "departure"; 2; 1; >; 2
28; "arrival"; 5; 1; >; 2
29; "departure"; 5; 1; >; 2
30; "arrival"; 6; 1; >; 2
31; "departure"; 6; 1; >; 2
32; "arrival"; 7; 1; >; 2
33; "departure"; 7; 1; >; 2
34; "arrival"; 8; 1; >; 2
35; "departure"; 8; 1; >; 2
36; "arrival"; 9; 1; >; 2
37; "departure"; 9; 1; >; 2
38; "arrival"; 10; 1; >; 2
39; "departure"; 10; 1; >; 2
40; "arrival"; 11; 1; >; 2
41; "departure"; 11; 1; >; 2
42; "arrival"; 12; 1; >; 2
43; "departure"; 12; 1; >; 2
44; "arrival"; 13; 1; >; 2
45; "departure"; 13; 1; >; 2
46; "arrival"; 14; 1; >; 2
47; "departure"; 14; 1; >; 2
48; "arrival"; 15; 1; >; 2
49; "departure"; 15; 1; <; 1
50; "arrival"; 14; 1; <; 1
51; "departure"; 14; 1; <; 1
52; "arrival"; 13; 1; <; 1
53; "departure"; 13; 1; <; 1
54; "arrival"; 12; 1; <; 1
55; "departure"; 12; 1; <; 1
56; "arrival"; 11; 1; <; 1
57; "departure"; 11; 1; <; 1
58; "arrival"; 10; 1; <; 1
59; "departure"; 10; 1; <; 1
60; "arrival"; 9; 1; <; 1
61; "departure"; 9; 1; <; 1
62; "arrival"; 8; 1; <; 1
63; "departure"; 8; 1; <; 1
64; "arrival"; 7; 1; <; 1
65; "departure"; 7; 1; <; 1
66; "arrival"; 6; 1; <; 1
67; "departure"; 6; 1; <; 1
68; "arrival"; 5; 1; <; 1
69; "departure"; 5; 1; <; 1
70; "arrival"; 2; 1; <; 1
71; "departure"; 2; 1; <; 1
72; "arrival"; 34; 1; <; 1
73; "departure"; 15; 1; <; 2
74; "arrival"; 14; 1; <; 2
75; "departure"; 14; 1; <; 2
76; "arrival"; 13; 1; <; 2
77; "departure"; 13; 1; <; 2
78; "arrival"; 12; 1; <; 2
79; "departure"; 12; 1; <; 2
80; "arrival"; 11; 1; <; 2
81; "departure"; 11; 1; <; 2
82; "arrival"; 10; 1; <; 2
83; "departure"; 10; 1; <; 2
84; "arrival"; 9; 1; <; 2
85; "departure"; 9; 1; <; 2
86; "arrival"; 8; 1; <; 2
87; "departure"; 8; 1; <; 2
88; "arrival"; 7; 1; <; 2
89; "departure"; 7; 1; <; 2
90; "arrival"; 6; 1; <; 2
91; "departure"; 6; 1; <; 2
92; "arrival"; 5; 1; <; 2
93; "departure"; 5; 1; <; 2
94; "arrival"; 2; 1; <; 2
95; "departure"; 2; 1; <; 2
96; "arrival"; 34; 1; <; 2
97; "departure"; 30; 2; >; 1
98; "arrival"; 29; 2; >; 1
99; "departure"; 29; 2; >; 1
100; "arrival"; 28; 2; >; 1
101; "departure"; 28; 2; >; 1
102; "arrival"; 27; 2; >; 1
103; "departure"; 27; 2; >; 1
104; "arrival"; 26; 2; >; 1
105; "departure"; 26; 2; >; 1
106; "arrival"; 25; 2; >; 1
107; "departure"; 25; 2; >; 1
108; "arrival"; 24; 2; >; 1
109; "departure"; 24; 2; >; 1
110; "arrival"; 23; 2; >; 1
111; "departure"; 23; 2; >; 1
112; "arrival"; 21; 2; >; 1
113; "departure"; 21; 2; >; 1
114; "arrival"; 22; 2; >; 1
115; "departure"; 30; 2; >; 2
116; "arrival"; 29; 2; >; 2
117; "departure"; 29; 2; >; 2
118; "arrival"; 28; 2; >; 2
119; "departure"; 28; 2; >; 2
120; "arrival"; 27; 2; >; 2
121; "departure"; 27; 2; >; 2
122; "arrival"; 26; 2; >; 2
123; "departure"; 26; 2; >; 2
124; "arrival"; 25; 2; >; 2
125; "departure"; 25; 2; >; 2
126; "arrival"; 24; 2; >; 2
127; "departure"; 24; 2; >; 2
128; "arrival"; 23; 2; >; 2
129; "departure"; 23; 2; >; 2
130; "arrival"; 21; 2; >; 2
131; "departure"; 21; 2; >; 2
132; "arrival"; 22; 2; >; 2
133; "departure"; 22; 2; <; 1
134; "arrival"; 21; 2; <; 1
135; "departure"; 21; 2; <; 1
136; "arrival"; 23; 2; <; 1
137; "departure"; 23; 2; <; 1
138; "arrival"; 24; 2; <; 1
139; "departure"; 24; 2; <; 1
140; "arrival"; 25; 2; <; 1
141; "departure"; 25; 2; <; 1
142; "arrival"; 26; 2; <; 1
143; "departure"; 26; 2; <; 1
144; "arrival"; 27; 2; <; 1
145; "departure"; 27; 2; <; 1
146; "arrival"; 28; 2; <; 1
147; "departure"; 28; 2; <; 1
148; "arrival"; 29; 2; <; 1
149; "departure"; 29; 2; <; 1
150; "arrival"; 30; 2; <; 1
151; "departure"; 22; 2; <; 2
152; "arrival"; 21; 2; <; 2
153; "departure"; 21; 2; <; 2
154; "arrival"; 23; 2; <; 2
155; "departure"; 23; 2; <; 2
156; "arrival"; 24; 2; <; 2
157; "departure"; 24; 2; <; 2
158; "arrival"; 25; 2; <; 2
159; "departure"; 25; 2; <; 2
160; "arrival"; 26; 2; <; 2
161; "departure"; 26; 2; <; 2
162; "arrival"; 27; 2; <; 2
163; "departure"; 27; 2; <; 2
164; "arrival"; 28; 2; <; 2
165; "departure"; 28; 2; <; 2
166; "arrival"; 29; 2; <; 2
167; "departure"; 29; 2; <; 2
168; "arrival"; 30; 2; <; 2
169; "departure"; 30; 3; >; 1
