# origin; destination; customers
2; 3; 129
2; 4; 192
2; 5; 3548
2; 6; 615
2; 9; 87
2; 12; 40
2; 13; 21
2; 14; 9
2; 16; 18
2; 18; 75
2; 19; 620
2; 20; 137
2; 21; 605
2; 22; 26
2; 30; 2
2; 31; 47
2; 33; 70
2; 34; 623
3; 2; 442
3; 4; 2695
3; 5; 288
3; 6; 279
3; 9; 92
3; 12; 47
3; 13; 29
3; 14; 19
3; 16; 17
3; 18; 52
3; 19; 309
3; 20; 141
3; 21; 564
3; 22; 31
3; 31; 63
3; 33; 59
3; 34; 330
4; 2; 1190
4; 3; 6162
4; 5; 1152
4; 6; 1344
4; 9; 547
4; 12; 243
4; 13; 119
4; 14; 73
4; 16; 93
4; 18; 279
4; 19; 1509
4; 20; 683
4; 21; 3523
4; 22; 202
4; 33; 259
4; 34; 1440
5; 2; 3994
5; 3; 112
5; 4; 191
5; 6; 3528
5; 9; 203
5; 11; 60
5; 13; 24
5; 14; 15
5; 16; 19
5; 18; 59
5; 19; 499
5; 20; 127
5; 21; 712
5; 22; 33
5; 30; 6
5; 31; 49
5; 33; 75
5; 34; 529
6; 2; 1716
6; 3; 247
6; 4; 553
6; 5; 8600
6; 9; 2419
6; 11; 471
6; 13; 176
6; 14; 108
6; 18; 178
6; 19; 1270
6; 20; 427
6; 21; 2133
6; 22; 138
6; 30; 7
6; 31; 192
6; 33; 260
6; 34; 1139
9; 2; 323
9; 3; 125
9; 4; 308
9; 5; 763
9; 6; 3099
10; 11; 9189
10; 13; 858
10; 14; 397
10; 16; 616
11; 5; 124
11; 6; 409
11; 10; 5460
12; 2; 88
12; 3; 31
12; 4; 107
12; 13; 1289
12; 14; 405
12; 16; 2318
12; 18; 349
12; 19; 785
12; 20; 270
12; 21; 1299
12; 22; 88
12; 30; 45
12; 31; 109
12; 33; 156
12; 34; 241
13; 2; 92
13; 3; 32
13; 4; 132
13; 5; 126
13; 6; 353
13; 10; 1357
13; 12; 3281
13; 16; 544
13; 18; 277
13; 19; 765
13; 20; 326
13; 21; 1795
13; 22; 125
13; 30; 80
13; 31; 155
13; 33; 168
13; 34; 337
14; 2; 61
14; 3; 34
14; 4; 81
14; 5; 109
14; 6; 251
14; 10; 835
14; 12; 1398
14; 16; 278
14; 18; 193
14; 19; 551
14; 20; 276
14; 21; 1347
14; 22; 87
14; 30; 68
14; 31; 109
14; 33; 147
14; 34; 242
16; 2; 31
16; 3; 9
16; 4; 23
16; 5; 36
16; 10; 301
16; 12; 1877
16; 13; 179
16; 14; 73
16; 18; 314
16; 19; 382
16; 20; 107
16; 21; 488
16; 22; 30
16; 30; 17
16; 31; 47
16; 33; 71
16; 34; 116
17; 18; 582
18; 2; 78
18; 3; 21
18; 4; 43
18; 5; 80
18; 6; 77
18; 12; 188
18; 13; 77
18; 14; 29
18; 16; 216
18; 17; 196
18; 19; 5439
18; 20; 983
18; 21; 4323
18; 22; 254
18; 30; 167
18; 31; 366
18; 33; 566
18; 34; 881
19; 2; 720
19; 3; 145
19; 4; 246
19; 5; 544
19; 6; 507
19; 12; 372
19; 13; 168
19; 14; 71
19; 16; 276
19; 18; 4013
19; 20; 5366
19; 21; 11286
19; 22; 434
19; 30; 159
19; 31; 561
19; 33; 2210
19; 34; 2067
20; 2; 100
20; 3; 47
20; 4; 104
20; 5; 137
20; 6; 163
20; 12; 130
20; 13; 54
20; 14; 38
20; 16; 73
20; 18; 426
20; 19; 3059
20; 21; 5811
20; 22; 87
20; 30; 10
20; 31; 35
20; 33; 68
20; 34; 396
21; 2; 1058
21; 3; 373
21; 4; 919
21; 5; 1052
21; 6; 1357
21; 12; 959
21; 13; 510
21; 14; 273
21; 16; 494
21; 18; 3419
21; 19; 16603
21; 20; 23918
21; 22; 27775
21; 23; 2681
21; 24; 3093
21; 27; 1450
21; 30; 902
21; 34; 3333
22; 2; 32
22; 3; 7
22; 4; 28
22; 5; 30
22; 6; 36
22; 12; 30
22; 13; 18
22; 14; 10
22; 16; 15
22; 18; 65
22; 19; 253
22; 20; 154
22; 21; 10508
22; 23; 27
22; 24; 64
22; 27; 23
22; 30; 30
22; 34; 65
23; 21; 2768
23; 22; 102
23; 24; 283
23; 30; 75
24; 21; 4133
24; 22; 134
24; 23; 553
24; 25; 155
25; 24; 214
25; 27; 441
25; 30; 141
27; 21; 4158
27; 22; 241
27; 25; 937
28; 30; 1127
30; 2; 4
30; 5; 2
30; 6; 5
30; 12; 73
30; 13; 42
30; 14; 23
30; 16; 25
30; 18; 169
30; 19; 348
30; 20; 74
30; 21; 1418
30; 22; 92
30; 23; 143
30; 25; 200
30; 28; 630
30; 33; 136
30; 34; 190
31; 2; 216
31; 3; 86
31; 5; 232
31; 6; 313
31; 12; 235
31; 13; 118
31; 14; 77
31; 16; 80
31; 18; 737
31; 19; 2407
31; 20; 398
31; 33; 2246
31; 34; 705
33; 2; 136
33; 3; 46
33; 4; 54
33; 5; 124
33; 6; 166
33; 12; 115
33; 13; 73
33; 14; 35
33; 16; 67
33; 18; 506
33; 19; 3233
33; 20; 287
33; 30; 82
33; 31; 711
33; 34; 423
34; 2; 2240
34; 3; 430
34; 4; 768
34; 5; 1658
34; 6; 1526
34; 12; 432
34; 13; 220
34; 14; 113
34; 16; 194
34; 18; 1331
34; 19; 6447
34; 20; 1682
34; 21; 7260
34; 22; 398
34; 30; 220
34; 31; 488
34; 33; 832
