event_id; type; stop_id; line_id; line_direction; period
1; "departure"; 6; 8; <; 20
2; "arrival"; 3; 8; <; 20
3; "arrival"; 8; 2; >; 20
4; "departure"; 4; 6; >; 60
5; "arrival"; 3; 2; <; 20
6; "arrival"; 3; 5; <; 60
7; "departure"; 2; 5; >; 60
8; "departure"; 4; 8; >; 20
9; "arrival"; 5; 6; >; 60
10; "arrival"; 6; 4; <; 15
11; "arrival"; 5; 6; <; 60
12; "arrival"; 3; 5; >; 60
13; "arrival"; 6; 4; >; 15
14; "departure"; 3; 2; >; 20
15; "departure"; 3; 6; <; 60
16; "arrival"; 4; 8; <; 20
17; "arrival"; 4; 8; >; 20
18; "arrival"; 5; 3; <; 30
19; "departure"; 7; 8; <; 20
20; "arrival"; 6; 3; >; 30
21; "departure"; 3; 8; <; 20
22; "departure"; 3; 8; >; 20
23; "arrival"; 6; 6; >; 60
24; "departure"; 6; 2; <; 20
25; "arrival"; 6; 6; <; 60
26; "arrival"; 4; 5; >; 60
27; "arrival"; 3; 4; <; 15
28; "arrival"; 5; 8; <; 20
29; "departure"; 2; 2; >; 20
30; "departure"; 6; 2; >; 20
31; "arrival"; 5; 8; >; 20
32; "departure"; 5; 4; <; 15
33; "departure"; 5; 6; <; 60
34; "arrival"; 3; 8; >; 20
35; "departure"; 6; 6; >; 60
36; "arrival"; 6; 2; >; 20
37; "arrival"; 1; 8; <; 20
38; "arrival"; 3; 6; >; 60
39; "departure"; 8; 2; <; 20
40; "departure"; 3; 4; >; 15
41; "departure"; 6; 8; >; 20
42; "departure"; 4; 8; <; 20
43; "departure"; 3; 2; <; 20
44; "departure"; 3; 5; <; 60
45; "arrival"; 6; 8; <; 20
46; "arrival"; 6; 8; >; 20
47; "departure"; 6; 4; <; 15
48; "departure"; 5; 8; <; 20
49; "departure"; 5; 6; >; 60
50; "arrival"; 3; 2; >; 20
51; "departure"; 6; 3; <; 30
52; "arrival"; 6; 2; <; 20
53; "departure"; 3; 5; >; 60
54; "departure"; 1; 8; >; 20
55; "arrival"; 2; 5; <; 60
56; "departure"; 5; 8; >; 20
57; "arrival"; 2; 2; <; 20
58; "departure"; 6; 4; >; 15
59; "departure"; 4; 5; <; 60
60; "departure"; 5; 3; >; 30
61; "arrival"; 4; 6; <; 60
62; "arrival"; 5; 4; >; 15
63; "departure"; 6; 6; <; 60
64; "arrival"; 7; 8; >; 20
