activity_index; type; from_event; to_event; lower_bound; upper_bound; weight
1; "drive"; 29; 50; 3; 4; 181.0
2; "wait"; 50; 14; 1; 3; 181.0
3; "drive"; 14; 36; 1; 3; 361.0
4; "wait"; 36; 30; 1; 3; 20.0
5; "drive"; 30; 3; 6; 8; 160.0
6; "drive"; 39; 52; 6; 8; 160.0
7; "wait"; 52; 24; 1; 3; 20.0
8; "drive"; 24; 5; 1; 3; 291.0
9; "wait"; 5; 43; 1; 3; 111.0
10; "drive"; 43; 57; 3; 4; 221.0
11; "drive"; 60; 20; 2; 2; 0.0
12; "drive"; 51; 18; 2; 2; 90.0
13; "drive"; 40; 13; 1; 3; 0.0
14; "wait"; 13; 58; 1; 3; 0.0
15; "drive"; 58; 62; 2; 2; 0.0
16; "drive"; 32; 10; 2; 2; 380.0
17; "wait"; 10; 47; 1; 3; 170.0
18; "drive"; 47; 27; 1; 3; 170.0
19; "drive"; 7; 12; 3; 4; 70.0
20; "wait"; 12; 53; 1; 3; 20.0
21; "drive"; 53; 26; 4; 5; 20.0
22; "drive"; 59; 6; 4; 5; 20.0
23; "wait"; 6; 44; 1; 3; 20.0
24; "drive"; 44; 55; 3; 4; 30.0
25; "drive"; 4; 9; 3; 9; 250.0
26; "wait"; 9; 49; 1; 3; 150.0
27; "drive"; 49; 23; 2; 2; 150.0
28; "wait"; 23; 35; 1; 3; 0.0
29; "drive"; 35; 38; 1; 3; 0.0
30; "drive"; 15; 25; 1; 3; 100.0
31; "wait"; 25; 63; 1; 3; 100.0
32; "drive"; 63; 11; 2; 2; 440.0
33; "wait"; 11; 33; 1; 3; 150.0
34; "drive"; 33; 61; 3; 9; 250.0
35; "drive"; 54; 34; 5; 7; 200.0
36; "wait"; 34; 22; 1; 3; 70.0
37; "drive"; 22; 17; 4; 5; 90.0
38; "wait"; 17; 8; 1; 3; 60.0
39; "drive"; 8; 31; 3; 9; 60.0
40; "wait"; 31; 56; 1; 3; 0.0
41; "drive"; 56; 46; 2; 2; 100.0
42; "wait"; 46; 41; 1; 3; 100.0
43; "drive"; 41; 64; 4; 6; 181.0
44; "drive"; 19; 45; 4; 6; 181.0
45; "wait"; 45; 1; 1; 3; 100.0
46; "drive"; 1; 28; 2; 2; 100.0
47; "wait"; 28; 48; 1; 3; 0.0
48; "drive"; 48; 16; 3; 9; 60.0
49; "wait"; 16; 42; 1; 3; 60.0
50; "drive"; 42; 2; 4; 5; 90.0
51; "wait"; 2; 21; 1; 3; 70.0
52; "drive"; 21; 37; 5; 7; 200.0
53; "change"; 5; 21; 3; 22; 100.0
54; "change"; 34; 14; 3; 22; 100.0
55; "change"; 52; 51; 3; 12; 90.0
56; "change"; 10; 30; 3; 7; 90.0
57; "change"; 36; 63; 3; 22; 70.0
58; "change"; 27; 43; 3; 7; 70.0
59; "change"; 36; 41; 3; 22; 21.0
60; "change"; 45; 24; 3; 22; 21.0
61; "change"; 12; 21; 3; 22; 10.0
