activity_index; type; from_event; to_event; lower_bound; upper_bound; weight
1; "drive"; 29; 50; 3; 4; 181.0
2; "wait"; 50; 14; 1; 3; 181.0
3; "drive"; 14; 36; 1; 3; 361.0
4; "wait"; 36; 30; 1; 3; 20.0
5; "drive"; 30; 3; 6; 8; 160.0
6; "drive"; 39; 52; 6; 8; 160.0
7; "wait"; 52; 24; 1; 3; 20.0
8; "drive"; 24; 5; 1; 3; 291.0
9; "wait"; 5; 43; 1; 3; 111.0
10; "drive"; 43; 57; 3; 4; 221.0
11; "drive"; 60; 20; 2; 2; 0.0
12; "drive"; 51; 18; 2; 2; 90.0
13; "drive"; 40; 13; 1; 3; 0.0
14; "wait"; 13; 58; 1; 3; 0.0
15; "drive"; 58; 62; 2; 2; 0.0
16; "drive"; 32; 10; 2; 2; 380.0
17; "wait"; 10; 47; 1; 3; 170.0
18; "drive"; 47; 27; 1; 3; 170.0
19; "drive"; 7; 12; 3; 4; 70.0
20; "wait"; 12; 53; 1; 3; 20.0
21; "drive"; 53; 26; 4; 5; 20.0
22; "drive"; 59; 6; 4; 5; 20.0
23; "wait"; 6; 44; 1; 3; 20.0
24; "drive"; 44; 55; 3; 4; 30.0
25; "drive"; 4; 9; 3; 9; 250.0
26; "wait"; 9; 49; 1; 3; 150.0
27; "drive"; 49; 23; 2; 2; 150.0
28; "wait"; 23; 35; 1; 3; 0.0
29; "drive"; 35; 38; 1; 3; 0.0
30; "drive"; 15; 25; 1; 3; 100.0
31; "wait"; 25; 63; 1; 3; 100.0
32; "drive"; 63; 11; 2; 2; 440.0
33; "wait"; 11; 33; 1; 3; 150.0
34; "drive"; 33; 61; 3; 9; 250.0
35; "drive"; 54; 34; 5; 7; 200.0
36; "wait"; 34; 22; 1; 3; 70.0
37; "drive"; 22; 17; 4; 5; 90.0
38; "wait"; 17; 8; 1; 3; 60.0
39; "drive"; 8; 31; 3; 9; 60.0
40; "wait"; 31; 56; 1; 3; 0.0
41; "drive"; 56; 46; 2; 2; 100.0
42; "wait"; 46; 41; 1; 3; 100.0
43; "drive"; 41; 64; 4; 6; 181.0
44; "drive"; 19; 45; 4; 6; 181.0
45; "wait"; 45; 1; 1; 3; 100.0
46; "drive"; 1; 28; 2; 2; 100.0
47; "wait"; 28; 48; 1; 3; 0.0
48; "drive"; 48; 16; 3; 9; 60.0
49; "wait"; 16; 42; 1; 3; 60.0
50; "drive"; 42; 2; 4; 5; 90.0
51; "wait"; 2; 21; 1; 3; 70.0
52; "drive"; 21; 37; 5; 7; 200.0
53; "change"; 50; 40; 3; 7; 0.0
54; "change"; 50; 53; 3; 22; 0.0
55; "change"; 50; 44; 3; 22; 0.0
56; "change"; 50; 15; 3; 22; 0.0
57; "change"; 50; 22; 3; 22; 0.0
58; "change"; 50; 21; 3; 22; 0.0
59; "change"; 36; 51; 3; 12; 0.0
60; "change"; 36; 58; 3; 7; 0.0
61; "change"; 36; 47; 3; 7; 0.0
62; "change"; 36; 35; 3; 22; 0.0
63; "change"; 36; 63; 3; 22; 70.0
64; "change"; 36; 41; 3; 22; 21.0
65; "change"; 36; 1; 3; 22; 0.0
66; "change"; 52; 51; 3; 12; 90.0
67; "change"; 52; 58; 3; 7; 0.0
68; "change"; 52; 47; 3; 7; 0.0
69; "change"; 52; 35; 3; 22; 0.0
70; "change"; 52; 63; 3; 22; 0.0
71; "change"; 52; 41; 3; 22; 0.0
72; "change"; 52; 1; 3; 22; 0.0
73; "change"; 5; 40; 3; 7; 0.0
74; "change"; 5; 53; 3; 22; 0.0
75; "change"; 5; 44; 3; 22; 0.0
76; "change"; 5; 15; 3; 22; 0.0
77; "change"; 5; 22; 3; 22; 0.0
78; "change"; 5; 21; 3; 22; 100.0
79; "change"; 57; 7; 3; 22; 0.0
80; "change"; 20; 30; 3; 12; 0.0
81; "change"; 20; 24; 3; 12; 0.0
82; "change"; 20; 58; 3; 17; 0.0
83; "change"; 20; 47; 3; 17; 0.0
84; "change"; 20; 35; 3; 32; 0.0
85; "change"; 20; 63; 3; 32; 0.0
86; "change"; 20; 41; 3; 12; 0.0
87; "change"; 20; 1; 3; 12; 0.0
88; "change"; 18; 32; 3; 17; 0.0
89; "change"; 18; 49; 3; 32; 0.0
90; "change"; 18; 33; 3; 32; 0.0
91; "change"; 18; 56; 3; 12; 0.0
92; "change"; 18; 48; 3; 12; 0.0
93; "change"; 13; 30; 3; 7; 0.0
94; "change"; 13; 24; 3; 7; 0.0
95; "change"; 13; 51; 3; 17; 0.0
96; "change"; 13; 35; 3; 17; 0.0
97; "change"; 13; 63; 3; 17; 0.0
98; "change"; 13; 41; 3; 7; 0.0
99; "change"; 13; 1; 3; 7; 0.0
100; "change"; 62; 60; 3; 17; 0.0
101; "change"; 62; 49; 3; 17; 0.0
102; "change"; 62; 33; 3; 17; 0.0
103; "change"; 62; 56; 3; 7; 0.0
104; "change"; 62; 48; 3; 7; 0.0
105; "change"; 10; 30; 3; 7; 90.0
106; "change"; 10; 24; 3; 7; 0.0
107; "change"; 10; 51; 3; 17; 0.0
108; "change"; 10; 35; 3; 17; 0.0
109; "change"; 10; 63; 3; 17; 0.0
110; "change"; 10; 41; 3; 7; 0.0
111; "change"; 10; 1; 3; 7; 0.0
112; "change"; 27; 14; 3; 7; 0.0
113; "change"; 27; 43; 3; 7; 70.0
114; "change"; 27; 53; 3; 17; 0.0
115; "change"; 27; 44; 3; 17; 0.0
116; "change"; 27; 15; 3; 17; 0.0
117; "change"; 27; 22; 3; 7; 0.0
118; "change"; 27; 21; 3; 7; 0.0
119; "change"; 12; 14; 3; 22; 0.0
120; "change"; 12; 43; 3; 22; 0.0
121; "change"; 12; 40; 3; 17; 0.0
122; "change"; 12; 15; 3; 62; 0.0
123; "change"; 12; 22; 3; 22; 0.0
124; "change"; 12; 21; 3; 22; 10.0
125; "change"; 26; 4; 3; 62; 0.0
126; "change"; 26; 8; 3; 22; 0.0
127; "change"; 26; 42; 3; 22; 0.0
128; "change"; 6; 14; 3; 22; 0.0
129; "change"; 6; 43; 3; 22; 0.0
130; "change"; 6; 40; 3; 17; 0.0
131; "change"; 6; 15; 3; 62; 0.0
132; "change"; 6; 22; 3; 22; 0.0
133; "change"; 6; 21; 3; 22; 0.0
134; "change"; 55; 29; 3; 22; 0.0
135; "change"; 9; 60; 3; 32; 0.0
136; "change"; 9; 32; 3; 17; 0.0
137; "change"; 9; 56; 3; 22; 0.0
138; "change"; 9; 48; 3; 22; 0.0
139; "change"; 23; 30; 3; 22; 0.0
140; "change"; 23; 24; 3; 22; 0.0
141; "change"; 23; 51; 3; 32; 0.0
142; "change"; 23; 58; 3; 17; 0.0
143; "change"; 23; 47; 3; 17; 0.0
144; "change"; 23; 41; 3; 22; 0.0
145; "change"; 23; 1; 3; 22; 0.0
146; "change"; 38; 14; 3; 22; 0.0
147; "change"; 38; 43; 3; 22; 0.0
148; "change"; 38; 40; 3; 17; 0.0
149; "change"; 38; 53; 3; 62; 0.0
150; "change"; 38; 44; 3; 62; 0.0
151; "change"; 38; 22; 3; 22; 0.0
152; "change"; 38; 21; 3; 22; 0.0
153; "change"; 25; 30; 3; 22; 0.0
154; "change"; 25; 24; 3; 22; 0.0
155; "change"; 25; 51; 3; 32; 0.0
156; "change"; 25; 58; 3; 17; 0.0
157; "change"; 25; 47; 3; 17; 0.0
158; "change"; 25; 41; 3; 22; 0.0
159; "change"; 25; 1; 3; 22; 0.0
160; "change"; 11; 60; 3; 32; 0.0
161; "change"; 11; 32; 3; 17; 0.0
162; "change"; 11; 56; 3; 22; 0.0
163; "change"; 11; 48; 3; 22; 0.0
164; "change"; 61; 59; 3; 62; 0.0
165; "change"; 61; 8; 3; 22; 0.0
166; "change"; 61; 42; 3; 22; 0.0
167; "change"; 34; 14; 3; 22; 100.0
168; "change"; 34; 43; 3; 22; 0.0
169; "change"; 34; 40; 3; 7; 0.0
170; "change"; 34; 53; 3; 22; 0.0
171; "change"; 34; 44; 3; 22; 10.0
172; "change"; 34; 15; 3; 22; 0.0
173; "change"; 17; 59; 3; 22; 0.0
174; "change"; 17; 4; 3; 22; 0.0
175; "change"; 31; 60; 3; 12; 0.0
176; "change"; 31; 32; 3; 7; 0.0
177; "change"; 31; 49; 3; 22; 0.0
178; "change"; 31; 33; 3; 22; 0.0
179; "change"; 46; 30; 3; 22; 0.0
180; "change"; 46; 24; 3; 22; 0.0
181; "change"; 46; 51; 3; 12; 0.0
182; "change"; 46; 58; 3; 7; 0.0
183; "change"; 46; 47; 3; 7; 0.0
184; "change"; 46; 35; 3; 22; 0.0
185; "change"; 46; 63; 3; 22; 0.0
186; "change"; 45; 30; 3; 22; 0.0
187; "change"; 45; 24; 3; 22; 21.0
188; "change"; 45; 51; 3; 12; 0.0
189; "change"; 45; 58; 3; 7; 0.0
190; "change"; 45; 47; 3; 7; 0.0
191; "change"; 45; 35; 3; 22; 0.0
192; "change"; 45; 63; 3; 22; 0.0
193; "change"; 28; 60; 3; 12; 0.0
194; "change"; 28; 32; 3; 7; 0.0
195; "change"; 28; 49; 3; 22; 0.0
196; "change"; 28; 33; 3; 22; 0.0
197; "change"; 16; 59; 3; 22; 0.0
198; "change"; 16; 4; 3; 22; 0.0
199; "change"; 2; 14; 3; 22; 0.0
200; "change"; 2; 43; 3; 22; 0.0
201; "change"; 2; 40; 3; 7; 0.0
202; "change"; 2; 53; 3; 22; 0.0
203; "change"; 2; 44; 3; 22; 0.0
204; "change"; 2; 15; 3; 22; 0.0
