# event_id; type; stop_id; line_id; line_direction; line_freq_repetition
1; "departure"; 2; 2; >; 1
2; "arrival"; 3; 2; >; 1
3; "departure"; 3; 2; >; 1
4; "arrival"; 6; 2; >; 1
5; "departure"; 6; 2; >; 1
6; "arrival"; 8; 2; >; 1
7; "departure"; 2; 2; >; 2
8; "arrival"; 3; 2; >; 2
9; "departure"; 3; 2; >; 2
10; "arrival"; 6; 2; >; 2
11; "departure"; 6; 2; >; 2
12; "arrival"; 8; 2; >; 2
13; "departure"; 2; 2; >; 3
14; "arrival"; 3; 2; >; 3
15; "departure"; 3; 2; >; 3
16; "arrival"; 6; 2; >; 3
17; "departure"; 6; 2; >; 3
18; "arrival"; 8; 2; >; 3
19; "departure"; 8; 2; <; 1
20; "arrival"; 6; 2; <; 1
21; "departure"; 6; 2; <; 1
22; "arrival"; 3; 2; <; 1
23; "departure"; 3; 2; <; 1
24; "arrival"; 2; 2; <; 1
25; "departure"; 8; 2; <; 2
26; "arrival"; 6; 2; <; 2
27; "departure"; 6; 2; <; 2
28; "arrival"; 3; 2; <; 2
29; "departure"; 3; 2; <; 2
30; "arrival"; 2; 2; <; 2
31; "departure"; 8; 2; <; 3
32; "arrival"; 6; 2; <; 3
33; "departure"; 6; 2; <; 3
34; "arrival"; 3; 2; <; 3
35; "departure"; 3; 2; <; 3
36; "arrival"; 2; 2; <; 3
37; "departure"; 5; 3; >; 1
38; "arrival"; 6; 3; >; 1
39; "departure"; 5; 3; >; 2
40; "arrival"; 6; 3; >; 2
41; "departure"; 6; 3; <; 1
42; "arrival"; 5; 3; <; 1
43; "departure"; 6; 3; <; 2
44; "arrival"; 5; 3; <; 2
45; "departure"; 3; 4; >; 1
46; "arrival"; 6; 4; >; 1
47; "departure"; 6; 4; >; 1
48; "arrival"; 5; 4; >; 1
49; "departure"; 3; 4; >; 2
50; "arrival"; 6; 4; >; 2
51; "departure"; 6; 4; >; 2
52; "arrival"; 5; 4; >; 2
53; "departure"; 3; 4; >; 3
54; "arrival"; 6; 4; >; 3
55; "departure"; 6; 4; >; 3
56; "arrival"; 5; 4; >; 3
57; "departure"; 3; 4; >; 4
58; "arrival"; 6; 4; >; 4
59; "departure"; 6; 4; >; 4
60; "arrival"; 5; 4; >; 4
61; "departure"; 5; 4; <; 1
62; "arrival"; 6; 4; <; 1
63; "departure"; 6; 4; <; 1
64; "arrival"; 3; 4; <; 1
65; "departure"; 5; 4; <; 2
66; "arrival"; 6; 4; <; 2
67; "departure"; 6; 4; <; 2
68; "arrival"; 3; 4; <; 2
69; "departure"; 5; 4; <; 3
70; "arrival"; 6; 4; <; 3
71; "departure"; 6; 4; <; 3
72; "arrival"; 3; 4; <; 3
73; "departure"; 5; 4; <; 4
74; "arrival"; 6; 4; <; 4
75; "departure"; 6; 4; <; 4
76; "arrival"; 3; 4; <; 4
77; "departure"; 2; 5; >; 1
78; "arrival"; 3; 5; >; 1
79; "departure"; 3; 5; >; 1
80; "arrival"; 4; 5; >; 1
81; "departure"; 4; 5; <; 1
82; "arrival"; 3; 5; <; 1
83; "departure"; 3; 5; <; 1
84; "arrival"; 2; 5; <; 1
85; "departure"; 4; 6; >; 1
86; "arrival"; 5; 6; >; 1
87; "departure"; 5; 6; >; 1
88; "arrival"; 6; 6; >; 1
89; "departure"; 6; 6; >; 1
90; "arrival"; 3; 6; >; 1
91; "departure"; 3; 6; <; 1
92; "arrival"; 6; 6; <; 1
93; "departure"; 6; 6; <; 1
94; "arrival"; 5; 6; <; 1
95; "departure"; 5; 6; <; 1
96; "arrival"; 4; 6; <; 1
97; "departure"; 1; 8; >; 1
98; "arrival"; 3; 8; >; 1
99; "departure"; 3; 8; >; 1
100; "arrival"; 4; 8; >; 1
101; "departure"; 4; 8; >; 1
102; "arrival"; 5; 8; >; 1
103; "departure"; 5; 8; >; 1
104; "arrival"; 6; 8; >; 1
105; "departure"; 6; 8; >; 1
106; "arrival"; 7; 8; >; 1
107; "departure"; 1; 8; >; 2
108; "arrival"; 3; 8; >; 2
109; "departure"; 3; 8; >; 2
110; "arrival"; 4; 8; >; 2
111; "departure"; 4; 8; >; 2
112; "arrival"; 5; 8; >; 2
113; "departure"; 5; 8; >; 2
114; "arrival"; 6; 8; >; 2
115; "departure"; 6; 8; >; 2
116; "arrival"; 7; 8; >; 2
117; "departure"; 1; 8; >; 3
118; "arrival"; 3; 8; >; 3
119; "departure"; 3; 8; >; 3
120; "arrival"; 4; 8; >; 3
121; "departure"; 4; 8; >; 3
122; "arrival"; 5; 8; >; 3
123; "departure"; 5; 8; >; 3
124; "arrival"; 6; 8; >; 3
125; "departure"; 6; 8; >; 3
126; "arrival"; 7; 8; >; 3
127; "departure"; 7; 8; <; 1
128; "arrival"; 6; 8; <; 1
129; "departure"; 6; 8; <; 1
130; "arrival"; 5; 8; <; 1
131; "departure"; 5; 8; <; 1
132; "arrival"; 4; 8; <; 1
133; "departure"; 4; 8; <; 1
134; "arrival"; 3; 8; <; 1
135; "departure"; 3; 8; <; 1
136; "arrival"; 1; 8; <; 1
137; "departure"; 7; 8; <; 2
138; "arrival"; 6; 8; <; 2
139; "departure"; 6; 8; <; 2
140; "arrival"; 5; 8; <; 2
141; "departure"; 5; 8; <; 2
142; "arrival"; 4; 8; <; 2
143; "departure"; 4; 8; <; 2
144; "arrival"; 3; 8; <; 2
145; "departure"; 3; 8; <; 2
146; "arrival"; 1; 8; <; 2
147; "departure"; 7; 8; <; 3
148; "arrival"; 6; 8; <; 3
149; "departure"; 6; 8; <; 3
150; "arrival"; 5; 8; <; 3
151; "departure"; 5; 8; <; 3
152; "arrival"; 4; 8; <; 3
153; "departure"; 4; 8; <; 3
154; "arrival"; 3; 8; <; 3
155; "departure"; 3; 8; <; 3
156; "arrival"; 1; 8; <; 3
